Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1.000272,90
1,1,1.0604,340
2,1,1.195806,395
2,2,-0.98025,490
3,2,1.151243,560
4,2,1.095881,665
5,2,1.189242,725
6,2,1.073802,860
7,2,1.217119,910
7,3,-0.98025,970
7,3,-5.448073E-05,971
7,4,-1.000272,1051
8,4,1.123184,1136
9,4,1.164678,1206
9,5,-1.000272,1261
10,5,1.12076,1361
11,5,1.181546,1416
12,5,1.118775,1501
12,6,-1.000272,1566
13,6,1.195806,1621
13,7,-0.98025,1666
14,7,1.208061,1716
14,8,-1.000272,1806
14,9,-0.98025,1856
14,10,-1.000272,1901
15,10,1.097875,2031
16,10,1.199728,2081
17,10,1.084473,2201
18,10,1.212058,2256
18,11,-1.000272,2331
18,12,-1.000272,2371
19,12,1.181546,2426
19,13,-1.000272,2466
19,14,-0.98025,2506
20,14,1.192035,2561
21,14,1.195189,2621
22,14,1.169219,2681
22,15,-0.98025,2721
23,15,1.175166,2781
23,16,-1.000272,2891
24,16,1.203809,2941
25,16,1.195189,3001
26,16,1.172141,3061
27,16,1.195189,3121
27,17,-1.000272,3211
27,18,-0.98025,3336
27,19,-1.000272,3396
28,19,1.212494,3446
28,20,-0.98025,3521
29,20,1.203809,3571
30,20,1.189242,3631
31,20,1.199728,3681
32,20,1.175166,3741
33,20,1.142585,3811
34,20,1.124728,3891
35,20,1.127933,3971
36,20,1.192035,4026
36,21,-1.000272,4086
37,21,1.18104,4151
38,21,1.154885,4226
39,21,1.203809,4276
40,21,1.24363,4321
40,22,-1.000272,4376
41,22,1.199728,4426
42,22,1.184913,4481
42,23,-1.000272,4571
43,23,1.163662,4636
44,23,1.166394,4696
45,23,1.113364,4786
46,23,1.257845,4831
47,23,1.085935,4951
48,23,1.169219,5011
49,23,1.093186,5121
49,24,-1.000272,5186
49,25,-1.000272,5246
50,25,1.107469,5361
50,26,-1.000272,5406
51,26,1.084473,5526
52,26,1.12631,5606
53,26,1.073257,5746
54,26,1.195806,5801
55,26,1.212494,5851
56,26,1.212494,5901
57,26,1.153574,5966
58,26,1.138798,6051
58,27,-1.000272,6106
59,27,1.158458,6171
60,27,1.227,6216
60,28,-1.000272,6296
60,29,-1.000272,6341
61,29,1.117375,6426
62,29,1.097767,6531
62,30,-1.000272,6581
63,30,1.107469,6696
63,31,-0.98025,6781
63,32,-1.000272,6886
64,32,1.098737,6991
65,32,1.237823,7036
66,32,1.158458,7101
67,32,1.076064,7236
68,32,1.203809,7286
69,32,1.208429,7341
70,32,1.232286,7386
71,32,1.21975,7436
72,32,1.195806,7491
73,32,1.256138,7531
73,33,-1.000272,7591
74,33,1.166394,7651
74,34,-0.98025,7741
75,34,1.223832,7791
76,34,1.151329,7871
77,34,1.172141,7931
77,35,-1.000272,8016
78,35,1.066394,8166
79,35,1.078468,8296
80,35,1.192035,8351
81,35,1.277505,8391
81,36,-1.000272,8461
81,37,-0.98025,8526
82,37,1.117375,8611
83,37,1.077247,8741
84,37,1.169004,8811
84,38,-0.98025,8861
84,39,-1.000272,8951
85,39,1.077247,9081
86,39,1.203809,9131
87,39,1.161018,9196
88,39,1.099728,9296
89,39,1.131307,9376
89,40,-1.000272,9446
90,40,1.112087,9536
90,41,-1.000272,9586
91,41,1.106707,9701
91,42,-1.000272,9736
92,42,1.068221,9886
92,43,-1.000272,9971
93,43,1.181546,10026
94,43,1.12021,10111
95,43,1.172141,10171
96,43,1.156736,10246
97,43,1.086684,10361
98,43,1.110839,10451
99,43,1.203809,10501
100,43,1.098737,10606
101,43,1.204935,10661
101,44,-1.000272,10746
101,45,-1.000272,10861
101,46,-0.98025,10921
102,46,1.12631,11001
103,46,1.161018,11066
103,47,-1.000272,11156
104,47,1.24363,11201
105,47,1.12021,11286
106,47,1.11876,11391
107,47,1.172141,11451
108,47,1.072191,11591
109,47,1.192035,11646
109,48,-1.000272,11696
109,49,-1.000272,11781
110,49,1.227,11826
110,50,-0.98025,11946
111,50,1.079728,12071
112,50,1.151243,12141
112,51,-0.98025,12186
113,51,1.104991,12281
113,52,-1.000272,12411
113,53,-1.000272,12506
114,53,1.247023,12551
115,53,1.203809,12601
116,53,1.109618,12696
117,53,1.164678,12766
117,54,-1.000272,12851
117,55,-1.000272,12916
118,55,1.199728,12966
119,55,1.24363,13011
120,55,1.116007,13101
121,55,1.203809,13151
121,56,-1.000272,13236
122,56,1.27616,13276
122,57,-1.000272,13366
123,57,1.121679,13451
124,57,1.101768,13551
125,57,1.118775,13636
126,57,1.085198,13756
127,57,1.140573,13831
128,57,1.192035,13886
129,57,1.11467,13976
129,58,-0.98025,14026
130,58,1.138616,14101
131,58,1.181546,14156
131,59,-1.000272,14216
132,59,1.285442,14251
133,59,1.122843,14351
133,60,-1.000272,14446
134,60,1.171265,14516
135,60,1.175166,14576
135,61,-1.000272,14621
135,62,-1.000272,14671
135,63,-1.000272,14731
136,63,1.156736,14806
137,63,1.112087,14896
138,63,1.166394,14956
139,63,1.116007,15046
139,64,-1.000272,15096
140,64,1.082372,15221
141,64,1.184913,15276
141,65,-1.000272,15341
142,65,1.091471,15451
143,65,1.199728,15501
144,65,1.22195,15546
145,65,1.153574,15611
146,65,1.146786,15681
147,65,1.232286,15726
147,66,-1.000272,15796
148,66,1.126133,15891
149,66,1.122843,15991
150,66,1.110839,16081
150,67,-1.000272,16156
151,67,1.184913,16211
151,68,-1.000272,16266
152,68,1.223832,16316
153,68,1.131307,16396
154,68,1.151243,16466
155,68,1.161018,16531
155,69,-1.000272,16676
156,69,1.163662,16741
157,69,1.188407,16796
158,69,1.305464,16831
159,69,1.212494,16881
159,70,-0.98025,16991
160,70,1.192035,17046
161,70,1.192035,17101
162,70,1.136714,17176
163,70,1.156736,17251
164,70,1.129598,17331
165,70,1.101768,17431
166,70,1.133061,17506
167,70,1.082372,17631
168,70,1.163662,17696
168,71,-0.98025,17811
169,71,1.14475,17891
170,71,1.178299,17951
170,72,-1.000272,18061
171,72,1.198321,18121
171,73,-1.000272,18186
172,73,1.184913,18241
173,73,1.087447,18356
173,74,-1.000272,18416
174,74,1.106111,18511
175,74,1.169219,18571
175,75,-1.000272,18611
176,75,1.162607,18681
177,75,1.123184,18766
178,75,1.189242,18826
179,75,1.097767,18931
180,75,1.184913,18986
181,75,1.142585,19056
181,76,-1.000272,19141
182,76,1.195806,19196
183,76,1.212058,19251
184,76,1.192164,19311
184,77,-1.000272,19396
185,77,1.189242,19456
186,77,1.134693,19546
187,77,1.215828,19601
187,78,-1.000272,19711
188,78,1.131307,19791
189,78,1.282908,19831
190,78,1.106111,19926
191,78,1.101768,20026
192,78,1.103083,20146
192,79,-1.000272,20191
192,80,-1.000272,20251
193,80,1.252308,20296
194,80,1.208061,20346
194,81,-1.000272,20411
195,81,1.148981,20481
196,81,1.169219,20541
196,82,-1.000272,20596
196,83,-1.000272,20646
197,83,1.175166,20706
198,83,1.140573,20781
198,84,-1.000272,20896
199,84,1.212058,20951
199,85,-1.000272,21001
200,85,1.113208,21111
201,85,1.083061,21231
201,86,-1.000272,21296
201,87,-1.000272,21351
202,87,1.223832,21401
203,87,1.094966,21506
204,87,1.103894,21606
204,88,-1.000272,21641
205,88,1.322308,21676
206,88,1.192164,21736
207,88,1.178299,21796
208,88,1.249728,21836
209,88,1.195189,21896
209,89,-1.000272,21986
209,90,-1.000272,22041
210,90,1.189242,22101
211,90,1.163662,22166
212,90,1.11467,22256
213,90,1.17848,22321
214,90,1.181546,22376
215,90,1.079093,22506
216,90,1.081695,22631
216,91,-0.98025,22701
216,92,-1.000272,22756
217,92,1.178299,22816
218,92,1.181546,22871
219,92,1.212058,22926
220,92,1.087447,23041
220,93,-1.000272,23111
221,93,1.11467,23201
222,93,1.192035,23256
223,93,1.178299,23316
224,93,1.184913,23371
224,94,-1.000272,23411
225,94,1.074916,23546
226,94,1.136714,23621
227,94,1.158458,23686
228,94,1.094966,23791
228,95,-0.98025,23871
229,95,1.232286,23916
229,96,-1.000272,23956
230,96,1.305464,23991
230,97,-1.000272,24036
231,97,1.107255,24131
232,97,1.093279,24271
232,98,-1.000272,24326
233,98,1.10984,24441
234,98,1.153574,24506
235,98,1.087447,24621
236,98,1.117789,24726
237,98,1.146786,24796
238,98,1.203809,24846
239,98,1.186417,24906
239,98,-5.448073E-05,25007
240,98,1.192164,25067
240,99,-1.000272,25117
240,100,-1.000272,25237
240,101,-0.98025,25292
240,102,-1.000272,25347
240,103,-1.000272,25407
240,104,-1.000272,25497
241,104,1.124728,25577
242,104,1.088223,25692
242,105,-1.000272,25777
243,105,1.080373,25902
243,106,-1.000272,25957
243,107,-1.000272,26022
244,107,1.079093,26152
244,108,-1.000272,26232
244,109,-1.000272,26307
245,109,1.217119,26357
245,110,-1.000272,26597
245,111,-1.000272,26737
245,112,-1.000272,26787
245,113,-1.000272,26832
246,113,1.069658,26977
246,114,-1.000272,27067
247,114,1.113208,27177
247,115,-1.000272,27242
247,116,-0.98025,27287
247,117,-0.98025,27392
247,118,-1.000272,27467
248,118,1.081028,27592
249,118,1.101768,27692
250,118,1.07789,27867
250,119,-1.000272,27937
250,120,-1.000272,27987
251,120,1.146786,28057
252,120,1.099728,28157
253,120,1.09232,28267
253,121,-1.000272,28327
254,121,1.098737,28432
254,122,-1.000272,28492
254,123,-0.98025,28542
254,124,-1.000272,28582
255,124,1.059969,28752
256,124,1.07077,28952
256,125,-0.98025,29067
256,126,-1.000272,29142
257,126,1.076064,29277
258,126,1.106111,29372
258,127,-1.000272,29487
258,128,-1.000272,29557
259,128,1.081695,29682
259,129,-1.000272,29747
260,129,1.112343,29857
261,129,1.142585,29927
261,130,-1.000272,30057
262,130,1.057867,30232
262,131,-1.000272,30297
263,131,1.108423,30392
263,132,-1.000272,30442
264,132,1.112087,30532
264,133,-0.98025,30697
265,133,1.083041,30857
266,133,1.095881,30962
266,134,-1.000272,31027
267,134,1.053491,31217
268,134,1.088223,31332
268,135,-1.000272,31392
269,135,1.075485,31527
270,135,1.051274,31722
271,135,1.116007,31812
272,135,1.059608,31982
273,135,1.085935,32102
274,135,1.095881,32207
274,136,-1.000272,32282
274,137,-1.000272,32337
275,137,1.054673,32522
275,138,-1.000272,32627
275,139,-0.98025,32687
275,140,-1.000272,32752
276,140,1.117375,32837
276,141,-0.98025,32877
277,141,1.169219,32937
277,142,-1.000272,33062
278,142,1.129598,33142
278,143,-0.98025,33247
278,144,-1.000272,33292
279,144,1.176,33357
280,144,1.082372,33482
280,145,-1.000272,33572
280,146,-1.000272,33632
280,147,-0.98025,33722
281,147,1.095881,33827
282,147,1.091471,33937
282,148,-1.000272,33992
283,148,1.076651,34122
283,149,-1.000272,34207
283,150,-1.000272,34292
284,150,1.124728,34372
284,151,-1.000272,34497
284,152,-0.98025,34662
285,152,1.108423,34757
286,152,1.153574,34822
287,152,1.128446,34917
287,153,-1.000272,34997
288,153,1.103894,35097
288,154,-0.98025,35212
288,155,-1.000272,35362
289,155,1.122843,35462
290,155,1.107255,35557
291,155,1.121679,35642
292,155,1.103894,35742
292,156,-1.000272,35802
293,156,1.148981,35872
294,156,1.107255,35967
295,156,1.089818,36082
296,156,1.09232,36192
297,156,1.087447,36307
297,157,-0.98025,36382
297,158,-1.000272,36462
297,159,-1.000272,36522
297,160,-0.98025,36572
298,160,1.095881,36677
298,161,-1.000272,36792
299,161,1.12021,36877
299,162,-1.000272,37017
300,162,1.163662,37082
301,162,1.089818,37197
301,163,-0.98025,37292
301,164,-1.000272,37352
301,165,-1.000272,37407
302,165,1.101768,37507
302,166,-1.000272,37572
303,166,1.14475,37652
304,166,1.075485,37787
304,167,-1.000272,37842
305,167,1.058207,38017
305,168,-1.000272,38117
305,169,-1.000272,38232
305,170,-1.000272,38377
305,171,-1.000272,38477
305,172,-1.000272,38512
305,173,-1.000272,38592
306,173,1.11467,38682
306,174,-1.000272,38792
306,175,-1.000272,38877
307,175,1.059251,39047
308,175,1.082372,39172
309,175,1.112087,39262
310,175,1.10282,39362
310,176,-1.000272,39447
311,176,1.079728,39572
311,177,-0.98025,39622
311,178,-1.000272,39707
312,178,1.173596,39772
312,179,-1.000272,39867
313,179,1.071156,40007
314,179,1.103894,40107
315,179,1.094067,40217
316,179,1.108423,40312
317,179,1.057199,40487
318,179,1.118775,40572
318,180,-1.000272,40617
319,180,1.07015,40762
320,180,1.094966,40867
321,180,1.095881,40972
321,181,-0.98025,41047
321,182,-1.000272,41177
321,183,-0.98025,41232
321,184,-0.98025,41322
321,185,-1.000272,41527
321,186,-0.98025,41587
321,187,-1.000272,41727
321,188,-0.98025,41782
322,188,1.099728,41882
