Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1.023321,90
0,2,-1.021387,270
0,3,-1.007451,945
0,4,-1.009056,1050
0,5,-1.033287,1375
0,6,-0.9857764,1690
0,7,-1.009926,2325
0,8,-0.8989605,3000
0,9,-0.9983299,3370
0,10,-0.9592032,4060
0,10,-4.480736E-05,4061
0,11,-0.9050035,4691
0,12,-0.9902264,5306
0,13,-1.003315,5686
0,14,-0.9763399,5991
0,15,-1.017181,6086
0,16,-0.9633872,7051
0,17,-0.9789414,7666
0,18,-1.009431,7876
0,19,-1.013562,8066
0,20,-0.99151,8761
0,21,-0.9776784,9326
0,22,-0.9880671,10086
0,23,-0.9729213,10776
0,24,-0.9848424,12026
0,25,-1.012026,12646
0,26,-0.9918639,12996
0,27,-0.9923485,13156
0,28,-0.9337203,13906
0,29,-0.9687693,14546
0,30,-0.9890687,15166
0,31,-0.9915087,16046
0,32,-0.9953502,16236
0,33,-1.032235,17366
0,34,-1.020067,17506
0,35,-0.9885715,17901
0,36,-0.9830278,18311
0,37,-0.972479,18466
0,38,-0.9595915,19246
0,39,-0.9892943,19686
0,40,-1.021694,19896
0,41,-0.93741,20441
0,42,-1.068279,21911
0,43,-1.020991,22276
0,44,-1.007069,22561
0,45,-0.9176563,23151
0,46,-0.980985,23271
0,47,-0.9844664,23666
0,48,-0.9670494,24076
0,49,-0.9936617,24326
0,50,-1.020009,24911
0,50,-0.001350329,25007
0,51,-1.010088,25202
0,52,-1.018819,25622
0,53,-1.010082,25847
0,54,-1.023972,26382
0,55,-1.02218,26877
0,56,-1.0233,27397
0,57,-1.01277,27682
0,58,-1.012098,27952
0,59,-1.024196,28492
0,60,-1.01165,28752
0,61,-1.006273,28892
0,62,-1.027557,29507
0,63,-1.008603,29702
0,64,-1.009858,29922
0,66,-2.024868,30477
0,67,-1.009858,30697
0,68,-1.02218,31192
0,69,-1.014562,31517
0,70,-1.014338,31837
0,71,-1.020388,32292
0,72,-1.021284,32767
0,73,-1.019939,33212
0,74,-1.030917,33902
0,75,-1.02218,34397
0,76,-1.006273,34537
0,77,-1.015011,34872
0,78,-1.013442,35172
0,79,-1.01165,35432
0,80,-1.028453,36067
0,81,-1.029797,36732
0,82,-1.008289,36917
0,83,-1.019939,37362
0,84,-1.022628,37867
0,85,-1.011202,38117
0,86,-1.028229,38747
0,87,-1.020388,39202
0,88,-1.00941,39412
0,89,-1.006721,39562
0,90,-1.007169,39722
0,91,-1.017699,40117
0,92,-1.033606,40867
0,93,-1.007393,41032
0,94,-1.008513,41222
0,95,-1.016579,41592
0,96,-1.012994,41882
0,97,-1.012098,42152
0,98,-1.01389,42462
0,99,-1.02218,42957
0,100,-1.009634,43172
0,101,-1.024196,43712
0,102,-1.025764,44287
0,103,-1.017923,44687
0,104,-1.019043,45112
0,105,-1.021956,45602
0,106,-1.030021,46272
0,107,-1.007841,46447
0,108,-1.025764,47022
0,109,-1.035846,47822
0,110,-1.017251,48207
0,111,-1.025092,48767
0,112,-1.008065,48947
0,113,-1.021508,49427
0,114,-1.016803,49802
0,114,-0.009230325,50008
0,115,-1.015952,50158
0,116,-1.018595,50573
0,117,-1.014114,50888
0,118,-1.027333,51498
0,119,-1.017027,51878
0,120,-1.024868,52433
0,121,-1.014786,52763
0,122,-1.026213,53348
0,123,-1.008065,53528
0,124,-1.034726,54303
0,125,-1.034054,55063
0,126,-1.008737,55258
0,127,-1.02442,55803
0,128,-1.007304,55968
0,129,-1.011426,56223
0,130,-1.016579,56593
0,131,-1.016131,56953
0,132,-1.010082,57178
0,133,-1.004929,57288
0,134,-1.011202,57538
0,135,-1.020388,57993
0,136,-1.019939,58438
0,137,-1.012546,58718
0,138,-1.026212,59303
0,139,-1.008737,59498
0,140,-1.014338,59818
0,141,-1.022628,60323
0,142,-1.005377,60443
0,143,-1.028453,61078
0,144,-1.03719,61908
0,145,-1.007617,62078
0,146,-1.004705,62183
0,147,-1.020612,62643
0,148,-1.013666,62948
0,149,-1.018819,63368
0,150,-1.008962,63568
0,151,-1.049064,64663
0,152,-1.013666,64968
0,153,-1.021284,65443
0,154,-1.011426,65698
0,155,-1.039207,66573
0,156,-1.014114,66888
0,157,-1.027557,67503
0,158,-1.012994,67793
0,159,-1.023972,68328
0,160,-1.024196,68868
0,161,-1.010082,69093
0,162,-1.020163,69543
0,163,-1.009634,69758
0,164,-1.010754,69998
0,165,-1.014114,70313
