Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1.000272,275
0,2,-1.000272,390
1,2,1.050489,590
1,3,-1.000272,3230
2,3,1.039396,3740
2,4,-1.000272,4000
2,5,-1.000272,4385
3,5,1.036873,4970
3,6,-1.000272,5190
3,7,-0.98025,5435
4,7,1.06853,5640
4,8,-0.98025,5805
4,9,-0.98025,5990
5,9,1.042646,6225
5,10,-1.000272,6360
6,10,1.046346,6740
7,10,1.045997,7125
8,10,1.035523,7760
8,11,-1.000272,7885
8,12,-1.000272,8120
9,12,1.061767,8360
9,13,-0.98025,8510
9,14,-0.98025,8915
10,14,1.049979,9115
11,14,1.06853,9320
12,14,1.052537,9625
12,15,-1.000272,9760
12,16,-1.000272,9925
12,17,-1.000272,10055
13,17,1.060073,10305
13,18,-1.000272,10745
13,19,-1.000272,10860
13,20,-1.000272,10970
13,21,-1.000272,11135
13,22,-1.000272,11270
14,22,1.049479,11475
14,23,-1.000272,11765
14,24,-0.98025,11980
15,24,1.046488,12355
15,25,-1.000272,12720
16,25,1.043731,13140
17,25,1.027817,13500
17,26,-1.000272,13660
17,27,-1.000272,13850
17,28,-1.000272,14300
17,29,-0.98025,14510
17,30,-1.000272,14620
17,31,-1.000272,14795
18,31,1.079274,14965
18,32,-1.000272,15075
