Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,60
0,2,-1,120
0,3,-1,225
0,4,-1,335
0,5,-1,415
0,6,-1,465
0,7,-1,590
0,8,-1,705
0,9,-1,755
0,10,-1,870
0,11,-1,945
0,12,-1,1025
0,13,-1,1090
0,14,-1,1140
0,15,-1,1225
0,16,-1,1275
0,17,-1,1360
0,18,-1,1415
0,19,-1,1540
0,20,-1,1640
0,21,-1,1700
0,22,-1,1790
0,23,-1,1910
0,24,-1,1990
0,25,-1,2090
0,26,-1,2145
0,27,-1,2210
0,28,-1,2345
0,29,-1,2395
0,30,-1,2505
0,31,-1,2660
0,32,-1,2720
0,33,-1,2775
1,33,1.049261,2980
1,34,-1,3020
1,35,-1,3080
1,36,-1,3145
1,37,-1,3245
1,38,-1,3310
1,39,-1,3365
1,40,-1,3460
2,40,1.050251,3660
2,41,-1,3715
2,42,-1,3770
2,43,-1,3905
2,44,-1,3960
2,45,-1,4010
2,46,-1,4060
2,47,-1,4125
2,48,-1,4160
2,49,-1,4260
2,50,-1,4335
2,51,-1,4390
3,51,1.05291,4580
3,52,-1,4650
4,52,1.068027,4800
4,53,-1,4865
4,54,-1,4930
4,55,-1,5005
4,56,-1,5055
4,57,-1,5170
4,58,-1,5225
4,59,-1,5270
4,60,-1,5340
4,61,-1,5390
4,62,-1,5445
4,63,-1,5580
4,64,-1,5665
4,65,-1,5760
4,66,-1,5895
4,67,-1,5950
4,68,-1,6035
4,69,-1,6155
4,70,-1,6245
4,71,-1,6330
4,72,-1,6395
4,73,-1,6445
4,74,-1,6585
4,75,-1,6635
4,76,-1,6675
4,77,-1,6805
4,78,-1,6895
5,78,1.051546,7090
5,79,-1,7145
5,80,-1,7225
5,81,-1,7360
5,82,-1,7420
5,83,-1,7480
5,84,-1,7615
6,84,1.049505,7820
6,85,-1,7860
6,86,-1,7955
6,87,-1,8075
6,88,-1,8140
6,89,-1,8200
6,90,-1,8280
6,91,-1,8335
6,92,-1,8405
6,93,-1,8500
6,94,-1,8645
6,95,-1,8695
6,96,-1,8760
6,97,-1,8855
6,98,-1,8915
6,99,-1,9075
6,100,-1,9200
6,101,-1,9300
7,101,1.072464,9440
7,102,-1,9520
7,103,-1,9565
7,104,-1,9675
7,105,-1,9765
7,106,-1,9865
8,106,1.066225,10020
8,107,-1,10130
8,108,-1,10175
8,109,-1,10300
8,110,-1,10355
8,111,-1,10510
9,111,1.075758,10645
9,112,-1,10690
9,113,-1,10785
9,114,-1,10925
9,115,-1,10990
9,116,-1,11055
9,117,-1,11155
9,118,-1,11200
9,119,-1,11280
9,120,-1,11355
9,121,-1,11490
9,122,-1,11535
9,123,-1,11645
9,124,-1,11695
9,125,-1,11750
9,126,-1,11840
9,127,-1,11990
9,128,-1,12075
9,129,-1,12120
9,130,-1,12255
9,131,-1,12335
9,132,-1,12395
9,133,-1,12490
10,133,1.068493,12640
10,134,-1,12695
10,135,-1,12790
10,136,-1,12845
10,137,-1,12910
10,138,-1,12995
10,139,-1,13065
10,140,-1,13165
10,141,-1,13215
10,142,-1,13305
10,143,-1,13430
10,144,-1,13495
10,145,-1,13555
10,146,-1,13665
10,147,-1,13740
10,148,-1,13835
10,149,-1,13910
10,150,-1,13950
10,151,-1,14070
10,152,-1,14250
10,153,-1,14325
10,154,-1,14375
10,155,-1,14480
10,156,-1,14570
10,157,-1,14685
10,158,-1,14750
10,159,-1,14900
10,160,-1,14955
10,161,-1,15030
10,162,-1,15115
10,163,-1,15175
10,164,-1,15245
10,165,-1,15335
10,166,-1,15465
10,167,-1,15530
10,168,-1,15585
10,169,-1,15700
10,170,-1,15750
10,171,-1,15815
10,172,-1,15880
10,173,-1,16095
10,174,-1,16205
10,175,-1,16325
10,176,-1,16440
10,177,-1,16515
10,178,-1,16595
10,179,-1,16680
10,180,-1,16785
10,181,-1,16855
10,182,-1,16935
10,183,-1,17005
10,184,-1,17090
10,185,-1,17170
11,185,1.04717,17385
11,186,-1,17495
11,187,-1,17665
11,188,-1,17730
12,188,1.065789,17885
12,189,-1,17975
12,190,-1,18085
12,191,-1,18190
12,192,-1,18265
12,193,-1,18360
12,194,-1,18415
12,195,-1,18535
12,196,-1,18645
12,197,-1,18690
12,198,-1,18790
12,199,-1,18895
12,200,-1,18935
12,201,-1,19045
12,202,-1,19130
12,203,-1,19195
12,204,-1,19325
12,205,-1,19435
12,206,-1,19475
12,207,-1,19600
12,208,-1,19660
12,209,-1,19740
12,210,-1,19805
12,211,-1,19900
12,212,-1,19970
12,213,-1,20025
12,214,-1,20085
12,215,-1,20120
12,216,-1,20265
12,217,-1,20330
12,218,-1,20410
12,219,-1,20455
12,220,-1,20520
12,221,-1,20615
12,222,-1,20665
12,223,-1,20730
12,224,-1,20790
12,225,-1,20905
12,226,-1,20960
12,227,-1,21050
12,228,-1,21110
12,229,-1,21290
12,230,-1,21350
12,231,-1,21430
12,232,-1,21485
12,233,-1,21575
12,234,-1,21630
12,235,-1,21690
12,236,-1,21755
12,237,-1,21800
12,238,-1,21945
12,239,-1,22045
12,240,-1,22165
12,241,-1,22255
12,242,-1,22350
12,243,-1,22435
12,244,-1,22485
12,245,-1,22565
12,246,-1,22615
12,247,-1,22710
12,248,-1,22755
12,249,-1,22800
12,250,-1,22860
12,251,-1,22955
12,252,-1,23020
12,253,-1,23115
12,254,-1,23195
13,254,1.05988,23365
13,255,-1,23430
13,256,-1,23505
13,257,-1,23545
13,258,-1,23670
13,259,-1,23730
13,260,-1,23855
13,261,-1,23960
14,261,1.055249,24145
14,262,-1,24235
14,263,-1,24340
14,264,-1,24390
14,265,-1,24455
14,266,-1,24510
14,267,-1,24580
14,268,-1,24660
14,269,-1,24715
14,270,-1,24785
14,271,-1,24920
14,272,-1,24990
14,273,-1,25050
14,274,-1,25115
14,275,-1,25160
14,276,-1,25260
14,277,-1,25310
14,278,-1,25480
14,279,-1,25560
14,280,-1,25625
14,281,-1,25675
14,282,-1,25800
14,283,-1,25885
14,284,-1,25950
14,285,-1,26085
15,285,1.059524,26255
15,286,-1,26335
15,287,-1,26395
15,288,-1,26460
15,289,-1,26520
15,290,-1,26565
16,290,1.057143,26740
16,291,-1,26800
17,291,1.05618,26980
17,292,-1,27035
17,293,-1,27085
17,294,-1,27145
17,295,-1,27210
17,296,-1,27345
17,297,-1,27475
17,298,-1,27520
17,299,-1,27605
17,300,-1,27650
17,301,-1,27775
17,302,-1,27890
17,303,-1,27945
18,303,1.06135,28110
18,304,-1,28190
18,305,-1,28245
18,306,-1,28310
18,307,-1,28355
18,308,-1,28430
18,309,-1,28510
19,309,1.056818,28690
19,310,-1,28810
19,311,-1,28855
19,312,-1,28915
20,312,1.05814,29090
20,313,-1,29135
20,314,-1,29215
20,315,-1,29275
20,316,-1,29305
20,317,-1,29375
20,318,-1,29435
20,319,-1,29535
20,320,-1,29615
20,321,-1,29715
20,322,-1,29805
21,322,1.058824,29975
21,323,-1,30040
21,324,-1,30070
21,325,-1,30145
21,326,-1,30230
21,327,-1,30380
21,328,-1,30495
21,329,-1,30570
21,330,-1,30630
22,330,1.063291,30790
22,331,-1,30855
22,332,-1,30930
22,333,-1,30990
22,334,-1,31070
22,335,-1,31135
22,336,-1,31195
22,337,-1,31275
22,338,-1,31310
22,339,-1,31370
22,340,-1,31425
22,341,-1,31505
23,341,1.05291,31695
23,342,-1,31750
23,343,-1,31890
23,344,-1,31995
23,345,-1,32110
23,346,-1,32175
23,347,-1,32235
23,348,-1,32325
23,349,-1,32365
23,350,-1,32455
23,351,-1,32500
23,352,-1,32620
23,353,-1,32675
23,354,-1,32735
23,355,-1,32810
23,356,-1,32890
23,357,-1,32940
24,357,1.057804,33115
24,358,-1,33180
24,359,-1,33245
24,360,-1,33350
25,360,1.06993,33495
25,361,-1,33565
25,362,-1,33685
25,363,-1,33815
25,364,-1,33935
25,365,-1,34070
25,366,-1,34190
25,367,-1,34355
25,368,-1,34460
25,369,-1,34525
25,370,-1,34695
25,371,-1,34800
25,372,-1,34865
25,373,-1,34910
25,374,-1,34960
