Goals,Deaths,Reward,Step 
0,0,0,0
1,0,1.076923,130
2,0,1.05988,300
3,0,1.083333,420
4,0,1.10101,520
4,1,-1,705
5,1,1.050251,905
5,2,-1,1015
5,3,-1,1255
6,3,1.051813,1450
6,4,-1,1600
7,4,1.09009,1715
7,5,-1,1935
7,6,-1,2155
8,6,1.096154,2260
9,6,1.10101,2360
9,7,-1,2520
9,8,-1,2715
9,9,-1,2815
10,9,1.098039,2920
10,10,-1,3045
10,11,-1,3180
11,11,1.072993,3320
11,12,-1,3445
12,12,1.09434,3555
12,13,-1,3695
12,14,-1,3825
13,14,1.077519,3955
13,15,-1,4085
13,16,-1,4200
13,17,-1,4345
13,18,-1,4485
13,19,-1,4675
13,20,-1,4985
13,21,-1,5125
14,21,1.047619,5335
14,22,-1,5445
15,22,1.055556,5625
16,22,1.070922,5770
16,23,-1,5930
16,24,-1,6110
17,24,1.113636,6200
18,24,1.044643,6425
18,25,-1,6580
18,26,-1,6840
19,26,1.046083,7060
20,26,1.076923,7190
20,27,-1,7375
20,28,-1,7515
20,29,-1,7715
21,29,1.066225,7870
21,30,-1,7965
21,31,-1,8265
21,32,-1,8480
22,32,1.086207,8600
23,32,1.063291,8760
23,33,-1,8885
23,34,-1,9060
24,34,1.072993,9200
24,35,-1,9330
24,36,-1,9480
24,37,-1,9640
24,38,-1,9775
25,38,1.072464,9915
26,38,1.061728,10080
27,38,1.054645,10265
28,38,1.072993,10405
28,39,-1,10545
29,39,1.065789,10700
30,39,1.065789,10855
30,40,-1,11020
30,41,-1,11180
31,41,1.055249,11365
31,42,-1,11550
31,43,-1,11735
32,43,1.089286,11850
32,44,-1,12045
32,45,-1,12195
33,45,1.095238,12300
34,45,1.079365,12430
34,46,-1,12550
34,47,-1,12670
34,48,-1,12855
35,48,1.05988,13025
36,48,1.057143,13200
36,49,-1,13385
36,50,-1,13500
37,50,1.052632,13690
37,51,-1,13795
38,51,1.142857,13865
39,51,1.081301,13990
40,51,1.067114,14140
41,51,1.083333,14260
42,51,1.042373,14500
42,52,-1,14690
42,53,-1,14925
42,54,-1,15040
42,55,-1,15295
42,56,-1,15425
43,56,1.089286,15540
43,57,-1,15765
44,57,1.096154,15870
45,57,1.063694,16030
45,58,-1,16220
46,58,1.079365,16350
47,58,1.045455,16570
47,59,-1,16735
47,60,-1,16985
48,60,1.041667,17225
48,61,-1,17360
49,61,1.09901,17465
50,61,1.084746,17585
51,61,1.028736,17935
52,61,1.066225,18090
52,62,-1,18270
52,63,-1,18525
53,63,1.067568,18675
53,64,-1,18825
53,65,-1,18985
53,66,-1,19185
53,67,-1,19365
54,67,1.065789,19520
55,67,1.128205,19600
55,68,-1,19720
55,69,-1,19855
56,69,1.114943,19945
56,70,-1,20075
57,70,1.060976,20240
57,71,-1,20380
58,71,1.084034,20500
59,71,1.103093,20600
59,72,-1,20855
60,72,1.08,20980
60,73,-1,21105
60,74,-1,21215
60,75,-1,21425
60,76,-1,21565
61,76,1.093458,21675
62,76,1.061728,21840
62,77,-1,21955
63,77,1.126582,22035
63,78,-1,22230
63,79,-1,22445
64,79,1.05,22645
64,80,-1,22795
64,81,-1,22890
64,82,-1,23035
64,83,-1,23155
64,84,-1,23345
65,84,1.06993,23490
66,84,1.080645,23615
67,84,1.054054,23800
67,85,-1,24000
67,86,-1,24180
68,86,1.081301,24305
69,86,1.044843,24530
70,86,1.059524,24700
71,86,1.07874,24830
72,86,1.090909,24940
72,87,-1,25070
73,87,1.123457,25155
73,88,-1,25340
73,89,-1,25480
74,89,1.090909,25590
74,90,-1,25800
74,91,-1,25955
75,91,1.076336,26090
76,91,1.104167,26190
76,92,-1,26360
76,93,-1,26520
76,94,-1,26615
77,94,1.073529,26755
77,95,-1,26870
78,95,1.077519,27000
78,96,-1,27090
78,97,-1,27215
79,97,1.092593,27325
80,97,1.05,27525
80,98,-1,27650
81,98,1.097087,27755
82,98,1.042017,27995
82,99,-1,28260
83,99,1.107527,28355
83,100,-1,28505
84,100,1.071429,28645
