Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,5
0,2,-1,50
0,3,-1,100
0,5,-2,165
0,6,-1,225
0,7,-1,285
0,8,-1,290
0,9,-1,385
0,10,-1,445
0,11,-1,495
0,12,-1,550
0,13,-1,650
0,14,-1,720
0,15,-1,725
0,16,-1,780
0,17,-1,830
0,18,-1,960
0,19,-1,965
0,20,-1,1025
0,21,-1,1030
0,22,-1,1070
0,23,-1,1180
0,24,-1,1210
1,24,1.055866,1390
1,25,-1,1550
1,26,-1,1555
1,27,-1,1560
1,28,-1,1620
1,29,-1,1680
1,30,-1,1720
1,31,-1,1780
1,32,-1,1785
1,33,-1,1880
1,34,-1,1945
1,35,-1,2010
1,36,-1,2045
1,37,-1,2050
2,37,1.066667,2200
2,38,-1,2205
2,39,-1,2270
2,40,-1,2275
2,41,-1,2355
2,42,-1,2465
2,43,-1,2595
2,44,-1,2645
2,45,-1,2770
2,46,-1,2825
2,48,-2,2915
2,49,-1,3055
2,50,-1,3110
2,51,-1,3145
2,52,-1,3190
2,53,-1,3315
2,54,-1,3485
2,55,-1,3540
2,56,-1,3600
2,57,-1,3675
2,58,-1,3680
2,59,-1,3685
2,60,-1,3715
2,61,-1,3770
2,62,-1,3840
2,63,-1,3845
2,64,-1,3910
2,65,-1,3930
2,66,-1,3985
2,67,-1,4075
2,68,-1,4175
3,68,1.070922,4320
3,69,-1,4350
3,70,-1,4425
3,71,-1,4490
3,72,-1,4590
3,73,-1,4650
3,74,-1,4655
3,75,-1,4660
3,76,-1,4780
3,77,-1,4785
3,78,-1,4925
3,79,-1,4990
3,80,-1,4995
3,81,-1,5040
3,82,-1,5090
3,83,-1,5160
3,84,-1,5165
3,85,-1,5170
3,86,-1,5295
3,87,-1,5320
3,88,-1,5325
4,88,1.084746,5445
4,89,-1,5515
4,90,-1,5565
4,91,-1,5685
4,92,-1,5735
4,93,-1,5740
4,94,-1,5780
4,95,-1,5915
4,96,-1,5920
4,97,-1,5925
4,98,-1,5930
4,99,-1,5935
4,100,-1,5940
4,101,-1,6030
4,102,-1,6065
4,103,-1,6255
4,104,-1,6370
5,104,1.084034,6490
5,105,-1,6550
5,106,-1,6605
5,107,-1,6630
5,108,-1,6635
5,109,-1,6750
5,110,-1,6810
5,111,-1,6815
5,112,-1,6820
6,112,1.147059,6890
6,113,-1,6895
6,114,-1,6950
6,116,-2,7035
6,117,-1,7080
6,118,-1,7145
6,119,-1,7210
6,120,-1,7215
6,121,-1,7330
6,122,-1,7450
6,123,-1,7500
7,123,1.131579,7580
7,124,-1,7675
7,125,-1,7730
7,126,-1,7785
7,127,-1,7900
7,128,-1,7955
7,129,-1,7960
8,129,1.136986,8035
8,130,-1,8090
8,131,-1,8095
8,132,-1,8140
8,133,-1,8200
8,134,-1,8325
8,135,-1,8330
8,136,-1,8405
9,136,1.055556,8585
9,137,-1,8655
9,138,-1,8715
9,139,-1,8720
9,140,-1,8800
9,141,-1,8860
9,142,-1,8920
9,143,-1,8970
9,144,-1,8975
9,145,-1,8980
9,146,-1,9090
9,147,-1,9210
9,148,-1,9240
9,149,-1,9290
9,150,-1,9345
9,151,-1,9395
9,152,-1,9515
9,153,-1,9695
9,154,-1,9745
9,155,-1,9750
9,156,-1,9840
9,157,-1,9845
9,158,-1,9990
9,159,-1,9995
9,160,-1,10000
9,162,-2,10080
9,163,-1,10200
9,164,-1,10235
9,165,-1,10270
9,166,-1,10375
9,167,-1,10380
9,168,-1,10440
9,169,-1,10535
9,170,-1,10540
9,171,-1,10695
9,172,-1,10700
9,173,-1,10705
9,174,-1,10745
9,175,-1,10795
9,176,-1,10860
9,177,-1,10885
9,178,-1,10965
9,179,-1,10970
9,180,-1,10985
9,181,-1,11025
9,182,-1,11030
9,183,-1,11140
9,184,-1,11195
9,185,-1,11200
9,186,-1,11445
9,187,-1,11450
9,188,-1,11570
9,189,-1,11575
9,190,-1,11705
9,191,-1,11775
9,192,-1,11865
9,193,-1,11920
9,194,-1,12060
9,195,-1,12215
9,197,-2,12280
9,198,-1,12315
9,199,-1,12375
9,200,-1,12425
9,201,-1,12485
9,202,-1,12490
9,203,-1,12545
9,204,-1,12615
9,205,-1,12620
9,206,-1,12760
9,207,-1,12795
9,208,-1,12855
9,209,-1,12865
9,210,-1,12915
9,211,-1,12965
9,212,-1,13030
9,213,-1,13090
9,214,-1,13240
9,215,-1,13360
9,216,-1,13365
9,217,-1,13420
9,218,-1,13470
9,219,-1,13510
9,220,-1,13570
9,221,-1,13625
10,221,1.065789,13780
10,222,-1,13825
10,223,-1,14005
10,224,-1,14180
10,225,-1,14185
11,225,1.140845,14260
11,226,-1,14390
11,227,-1,14435
11,228,-1,14610
11,229,-1,14910
11,230,-1,14915
11,231,-1,15140
11,233,-2,15285
11,234,-1,15375
11,236,-2,15445
11,238,-2,15520
11,239,-1,15645
11,240,-1,15685
11,241,-1,15815
11,242,-1,15850
11,243,-1,15925
12,243,1.074627,16060
12,244,-1,16105
12,245,-1,16360
12,246,-1,16420
12,247,-1,16465
12,249,-2,16530
12,250,-1,16605
12,251,-1,16750
12,252,-1,16755
12,253,-1,16925
12,254,-1,16960
12,255,-1,17080
13,255,1.151515,17150
13,256,-1,17155
13,257,-1,17170
13,258,-1,17175
13,259,-1,17250
13,260,-1,17295
13,261,-1,17345
13,262,-1,17405
13,263,-1,17410
13,264,-1,17415
13,265,-1,17470
13,266,-1,17520
13,267,-1,17585
13,269,-2,17645
13,270,-1,17690
13,271,-1,17720
13,272,-1,17765
13,273,-1,17815
13,274,-1,17870
13,275,-1,17900
13,276,-1,17905
13,277,-1,17910
13,278,-1,17975
13,279,-1,17980
13,280,-1,18040
13,281,-1,18070
13,282,-1,18100
13,283,-1,18160
13,284,-1,18220
13,286,-2,18365
13,287,-1,18420
13,288,-1,18550
13,289,-1,18605
13,290,-1,18645
13,291,-1,18750
13,292,-1,18810
13,293,-1,18870
13,294,-1,18930
13,295,-1,18935
13,296,-1,18990
13,297,-1,19100
13,298,-1,19160
13,299,-1,19285
13,300,-1,19340
13,301,-1,19395
13,302,-1,19400
13,303,-1,19475
13,304,-1,19535
13,305,-1,19610
13,306,-1,19640
13,307,-1,19690
13,308,-1,19735
13,309,-1,19855
13,310,-1,19860
13,311,-1,19865
13,313,-2,19925
13,314,-1,20010
13,315,-1,20130
14,315,1.041152,20375
14,316,-1,20410
14,317,-1,20470
14,318,-1,20585
14,319,-1,20695
14,320,-1,20850
14,321,-1,20895
14,322,-1,20900
14,323,-1,20905
14,324,-1,21050
14,325,-1,21120
14,326,-1,21185
14,327,-1,21250
14,328,-1,21310
14,329,-1,21355
14,330,-1,21415
14,331,-1,21510
14,332,-1,21515
14,333,-1,21520
14,334,-1,21580
14,335,-1,21595
14,336,-1,21640
14,337,-1,21685
14,338,-1,21710
14,339,-1,21770
14,340,-1,21820
14,341,-1,22000
14,342,-1,22135
14,343,-1,22220
14,344,-1,22355
14,345,-1,22550
14,346,-1,22610
14,347,-1,22655
14,348,-1,22735
14,349,-1,22800
14,350,-1,22855
14,351,-1,22895
14,352,-1,22900
14,353,-1,22960
14,354,-1,23000
14,355,-1,23070
14,356,-1,23175
14,357,-1,23230
14,358,-1,23290
14,359,-1,23415
14,360,-1,23505
14,361,-1,23510
14,362,-1,23545
14,363,-1,23590
14,364,-1,23595
14,365,-1,23700
14,366,-1,23800
14,367,-1,23805
14,368,-1,23855
14,369,-1,23905
14,370,-1,23910
14,371,-1,23945
14,372,-1,24095
14,373,-1,24125
14,374,-1,24225
14,375,-1,24395
14,376,-1,24455
14,377,-1,24560
14,378,-1,24565
14,379,-1,24605
14,380,-1,24665
14,381,-1,24730
14,382,-1,24760
14,383,-1,24765
14,385,-2,24825
14,386,-1,24935
14,387,-1,24990
15,387,1.09009,25105
15,388,-1,25180
15,389,-1,25210
15,390,-1,25215
15,391,-1,25220
15,392,-1,25265
15,393,-1,25310
15,394,-1,25430
15,395,-1,25550
15,396,-1,25620
15,397,-1,25625
15,398,-1,25775
15,399,-1,25885
15,400,-1,25890
15,401,-1,25935
15,402,-1,25990
15,403,-1,26095
15,404,-1,26265
15,405,-1,26300
15,406,-1,26380
15,407,-1,26385
15,408,-1,26445
15,409,-1,26450
15,410,-1,26630
15,411,-1,26635
15,412,-1,26720
15,413,-1,26725
15,414,-1,26765
15,415,-1,26770
15,416,-1,26800
15,417,-1,26860
15,418,-1,26900
15,419,-1,26960
15,420,-1,27025
15,421,-1,27220
15,422,-1,27265
15,423,-1,27310
15,424,-1,27350
15,425,-1,27355
15,426,-1,27360
16,426,1.051813,27555
16,427,-1,27560
16,428,-1,27565
16,430,-2,27815
16,431,-1,27895
16,432,-1,27940
16,433,-1,28000
16,434,-1,28085
17,434,1.035842,28365
18,434,1.188679,28420
18,435,-1,28455
18,436,-1,28525
18,437,-1,28570
18,438,-1,28635
18,439,-1,28640
