Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,120
0,2,-1,300
1,2,1.073529,440
2,2,1.0625,600
2,3,-1,745
3,3,1.079365,875
3,4,-1,955
3,5,-1,1025
3,6,-1,1140
3,7,-1,1240
3,8,-1,1425
4,8,1.072464,1565
4,9,-1,1665
5,9,1.07874,1795
5,10,-1,1925
5,11,-1,2110
6,11,1.068027,2260
6,12,-1,2440
6,13,-1,2510
6,14,-1,2625
7,14,1.077519,2755
8,14,1.060241,2925
8,15,-1,3020
9,15,1.074627,3155
9,16,-1,3210
10,16,1.070922,3355
10,17,-1,3515
11,17,1.045249,3740
11,18,-1,3805
12,18,1.07874,3935
13,18,1.037453,4205
14,18,1.053763,4395
15,18,1.084746,4515
15,19,-1,4595
15,20,-1,4805
15,21,-1,4880
16,21,1.062893,5040
17,21,1.071429,5180
18,21,1.102041,5280
19,21,1.083333,5400
20,21,1.09901,5505
21,21,1.048309,5715
21,22,-1,5820
21,23,-1,5950
21,24,-1,6055
21,25,-1,6145
21,26,-1,6205
22,26,1.05988,6375
23,26,1.10101,6475
23,27,-1,6585
23,28,-1,6650
23,29,-1,6770
24,29,1.057804,6945
25,29,1.050251,7145
25,30,-1,7275
26,30,1.076923,7405
26,31,-1,7470
27,31,1.071942,7610
27,32,-1,7665
27,33,-1,7730
27,34,-1,7805
27,35,-1,7940
28,35,1.047619,8150
28,36,-1,8220
29,36,1.069444,8365
29,37,-1,8475
29,38,-1,8540
30,38,1.074074,8675
31,38,1.063291,8835
32,38,1.05102,9035
32,39,-1,9160
32,40,-1,9220
32,41,-1,9350
33,41,1.054645,9535
34,41,1.09009,9650
34,42,-1,9705
34,43,-1,9775
34,44,-1,9895
35,44,1.088496,10010
35,45,-1,10130
35,46,-1,10215
35,47,-1,10300
35,48,-1,10635
36,48,1.065359,10790
36,49,-1,10945
36,50,-1,11040
36,51,-1,11095
36,52,-1,11265
36,53,-1,11330
36,54,-1,11465
37,54,1.056497,11645
38,54,1.050761,11845
38,55,-1,11935
38,56,-1,11995
38,57,-1,12060
38,58,-1,12155
38,59,-1,12240
38,60,-1,12375
38,61,-1,12440
39,61,1.044444,12665
39,62,-1,12770
39,63,-1,12860
39,64,-1,12970
39,65,-1,13025
39,66,-1,13175
40,66,1.052632,13365
40,67,-1,13435
41,67,1.081301,13560
41,68,-1,13750
41,69,-1,13845
41,70,-1,13925
41,71,-1,14045
41,72,-1,14090
41,73,-1,14140
41,74,-1,14315
42,74,1.060606,14480
42,75,-1,14565
43,75,1.090909,14675
43,76,-1,14775
43,77,-1,14905
44,77,1.045045,15130
44,78,-1,15225
45,78,1.047619,15435
46,78,1.047619,15645
46,79,-1,15825
46,80,-1,15920
47,80,1.071429,16060
47,81,-1,16130
47,82,-1,16195
47,83,-1,16245
48,83,1.075758,16380
48,84,-1,16460
48,85,-1,16545
48,86,-1,16600
49,86,1.074074,16735
49,87,-1,16870
50,87,1.066667,17020
51,87,1.063291,17180
51,88,-1,17240
51,89,-1,17365
51,90,-1,17575
51,91,-1,17665
51,92,-1,17780
52,92,1.086957,17895
53,92,1.044444,18120
53,93,-1,18250
53,94,-1,18330
54,94,1.074074,18465
55,94,1.063291,18625
55,95,-1,18730
55,96,-1,18895
55,97,-1,19030
56,97,1.06993,19175
56,98,-1,19275
57,98,1.068027,19425
57,99,-1,19575
57,100,-1,19680
58,100,1.070922,19825
59,100,1.045455,20045
59,101,-1,20105
59,102,-1,20165
59,103,-1,20285
59,104,-1,20345
60,104,1.054054,20530
60,105,-1,20565
61,105,1.063694,20725
61,106,-1,20915
62,106,1.053192,21105
62,107,-1,21180
63,107,1.095238,21285
64,107,1.067568,21435
64,108,-1,21495
65,108,1.053192,21685
65,109,-1,21815
65,110,-1,21935
65,111,-1,22010
65,112,-1,22075
66,112,1.098039,22180
67,112,1.054348,22365
67,113,-1,22470
67,114,-1,22535
68,114,1.113636,22625
68,115,-1,22730
69,115,1.056818,22910
69,116,-1,22975
69,117,-1,23060
69,118,-1,23155
70,118,1.059524,23325
70,119,-1,23480
71,119,1.057471,23655
71,120,-1,23730
71,121,-1,23805
71,122,-1,23950
71,123,-1,24020
72,123,1.064103,24180
72,124,-1,24350
72,125,-1,24410
73,125,1.065359,24565
74,125,1.071429,24705
74,126,-1,24815
75,126,1.062112,24980
75,127,-1,25105
75,128,-1,25275
76,128,1.086957,25390
76,129,-1,25480
76,130,-1,25665
76,131,-1,25740
77,131,1.038314,26005
77,132,-1,26050
78,132,1.05988,26220
78,133,-1,26275
79,133,1.06993,26420
79,134,-1,26505
80,134,1.075188,26640
80,135,-1,26845
80,136,-1,26960
80,137,-1,27025
80,138,-1,27115
80,139,-1,27200
81,139,1.086207,27320
81,140,-1,27420
82,140,1.045872,27640
82,141,-1,27785
82,142,-1,27875
83,142,1.087719,27990
83,143,-1,28035
83,144,-1,28135
84,144,1.066667,28285
84,145,-1,28350
85,145,1.048544,28560
86,145,1.08,28685
86,146,-1,28825
86,147,-1,28950
87,147,1.055556,29130
88,147,1.066225,29285
88,148,-1,29380
88,149,-1,29475
88,150,-1,29720
89,150,1.078125,29850
89,151,-1,30010
89,152,-1,30140
90,152,1.104167,30240
91,152,1.051546,30435
92,152,1.050251,30635
92,153,-1,30760
