Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1.000272,125
1,1,1.074355,260
1,2,-1.000272,355
1,3,-0.98025,495
1,4,-0.98025,580
2,4,1.089013,695
2,5,-1.000272,705
3,5,1.082372,830
3,6,-1.000272,835
3,7,-1.000272,925
4,7,1.07015,1070
5,7,1.083061,1190
5,8,-0.98025,1310
5,9,-1.000272,1395
6,9,1.073257,1535
7,9,1.097875,1665
7,10,-0.98025,1775
8,10,1.088243,1925
8,11,-1.000272,1960
8,12,-1.000272,2035
9,12,1.076064,2170
9,13,-1.000272,2315
10,13,1.060334,2480
11,13,1.089194,2625
11,14,-1.000272,2630
11,15,-1.000272,2710
12,15,1.07015,2855
12,16,-0.98025,2945
13,16,1.077853,3075
13,17,-1.000272,3180
14,17,1.079093,3310
14,18,-0.98025,3380
14,19,-1.000272,3480
14,20,-1.000272,3595
15,20,1.086864,3745
16,20,1.083444,3905
16,21,-1.000272,3975
16,22,-0.98025,4015
16,23,-1.000272,4120
17,23,1.100395,4245
17,24,-0.98025,4250
17,25,-1.000272,4375
17,26,-1.000272,4440
18,26,1.06383,4600
19,26,1.070001,4800
19,27,-1.000272,4860
19,28,-0.98025,4920
20,28,1.061077,5085
21,28,1.085975,5240
22,28,1.090637,5350
22,29,-0.98025,5355
22,30,-1.000272,5410
22,31,-1.000272,5495
22,32,-0.98025,5520
22,33,-0.98025,5620
23,33,1.086417,5770
23,34,-0.98025,5840
24,34,1.063422,6000
24,35,-0.98025,6070
24,36,-1.000272,6205
25,36,1.080373,6330
26,36,1.09975,6455
27,36,1.067755,6605
27,37,-1.000272,6700
28,37,1.067755,6850
29,37,1.107469,6965
30,37,1.085198,7085
30,38,-1.000272,7145
31,38,1.094938,7280
32,38,1.07272,7420
32,39,-1.000272,7575
32,40,-0.98025,7690
32,41,-1.000272,7845
33,41,1.089194,7990
34,41,1.10984,8105
35,41,1.091692,8245
35,42,-0.98025,8330
36,42,1.060703,8495
36,43,-1.000272,8570
37,43,1.11975,8670
38,43,1.071156,8810
39,43,1.061456,8975
39,44,-0.98025,9055
40,44,1.068221,9205
41,44,1.053491,9395
42,44,1.079093,9525
42,45,-0.98025,9590
42,46,-0.98025,9595
42,47,-1.000272,9715
43,47,1.07065,9860
43,48,-0.98025,9990
44,48,1.077247,10120
44,49,-1.000272,10190
44,50,-0.98025,10270
44,51,-0.98025,10400
45,51,1.084473,10520
45,52,-1.000272,10620
45,53,-1.000272,10735
45,54,-1.000272,10845
45,55,-0.98025,10920
45,56,-0.98025,10925
46,56,1.112343,11035
47,56,1.10522,11155
48,56,1.079093,11285
48,57,-1.000272,11410
49,57,1.056225,11590
50,57,1.074355,11725
51,57,1.10522,11845
52,57,1.072191,11985
52,58,-1.000272,12075
52,59,-0.98025,12080
52,60,-1.000272,12210
52,61,-1.000272,12280
52,62,-0.98025,12340
52,63,-0.98025,12390
53,63,1.076064,12525
54,63,1.072191,12665
55,63,1.061077,12830
56,63,1.094377,12965
57,63,1.094966,13070
58,63,1.106707,13185
59,63,1.067755,13335
60,63,1.088716,13480
60,64,-0.98025,13575
60,65,-0.98025,13710
61,65,1.068693,13855
62,65,1.065517,14010
63,65,1.064663,14165
64,65,1.060334,14330
64,66,-1.000272,14440
64,67,-1.000272,14520
64,68,-1.000272,14610
65,68,1.077853,14740
66,68,1.068221,14890
66,69,-1.000272,14950
66,70,-0.98025,15015
