Goals,Deaths,Reward,Step 
0,0,0,0
1,0,1.108246,115
2,0,1.094966,220
3,0,1.083061,340
4,0,1.121791,440
5,0,1.122843,540
6,0,1.093186,650
7,0,1.113208,760
7,1,-0.98025,845
7,2,-1.000272,920
7,3,-1.000272,1025
7,4,-0.98025,1090
8,4,1.10984,1205
9,4,1.117789,1310
9,5,-1.000272,1405
10,5,1.089818,1520
11,5,1.094966,1625
11,6,-0.98025,1695
12,6,1.099728,1795
13,6,1.104991,1890
14,6,1.112343,2000
15,6,1.103894,2100
16,6,1.096086,2235
17,6,1.093186,2345
18,6,1.122843,2445
18,7,-0.98025,2505
18,8,-0.98025,2565
19,8,1.077247,2695
20,8,1.091471,2805
20,9,-0.98025,2875
21,9,1.096815,2980
22,9,1.090637,3090
22,10,-1.000272,3190
23,10,1.100738,3290
24,10,1.099728,3390
24,11,-1.000272,3500
24,12,-0.98025,3580
25,12,1.096815,3685
26,12,1.098737,3790
27,12,1.103083,3910
28,12,1.09232,4020
28,13,-0.98025,4095
29,13,1.094067,4205
30,13,1.100738,4305
30,14,-0.98025,4370
30,15,-0.98025,4435
31,15,1.096815,4540
32,15,1.12076,4640
32,16,-1.000272,4750
33,16,1.106707,4865
34,16,1.089818,4980
35,16,1.098737,5085
36,16,1.098737,5190
37,16,1.089818,5305
38,16,1.084473,5425
39,16,1.084473,5545
39,17,-1.000272,5610
40,17,1.11975,5710
40,18,-0.98025,5765
40,19,-0.98025,5850
41,19,1.076651,5980
42,19,1.103083,6100
43,19,1.084473,6220
44,19,1.077853,6350
44,20,-1.000272,6445
45,20,1.113208,6555
46,20,1.089818,6670
47,20,1.071156,6810
48,20,1.086684,6925
49,20,1.09975,7050
50,20,1.104991,7145
51,20,1.082372,7270
52,20,1.085935,7390
53,20,1.117789,7495
53,21,-0.98025,7565
53,22,-1.000272,7630
53,23,-1.000272,7715
53,24,-0.98025,7795
54,24,1.103784,7915
55,24,1.097767,8020
56,24,1.115904,8125
57,24,1.097767,8230
58,24,1.096815,8335
59,24,1.085935,8455
59,25,-0.98025,8580
60,25,1.098737,8685
60,26,-0.98025,8795
61,26,1.083761,8915
62,26,1.10282,9015
62,27,-0.98025,9070
63,27,1.096815,9175
64,27,1.107255,9270
64,28,-0.98025,9345
65,28,1.091471,9455
66,28,1.111493,9565
67,28,1.110839,9655
68,28,1.099728,9755
69,28,1.125013,9850
70,28,1.106111,9945
70,29,-1.000272,10015
70,30,-1.000272,10080
71,30,1.089818,10195
72,30,1.104496,10315
73,30,1.11975,10415
73,31,-0.98025,10475
74,31,1.091471,10585
75,31,1.097767,10690
76,31,1.09232,10800
76,32,-1.000272,10900
77,32,1.097767,11005
78,32,1.089818,11120
79,32,1.11409,11230
80,32,1.090637,11340
81,32,1.116837,11445
82,32,1.091471,11555
83,32,1.088223,11670
83,33,-0.98025,11740
84,33,1.103894,11840
85,33,1.115904,11945
85,34,-0.98025,12050
86,34,1.095881,12155
87,34,1.093186,12265
88,34,1.091471,12375
88,35,-1.000272,12465
88,36,-0.98025,12475
89,36,1.106707,12590
90,36,1.094966,12695
91,36,1.117789,12800
92,36,1.125013,12895
93,36,1.11975,12995
94,36,1.101768,13095
94,37,-1.000272,13205
95,37,1.080373,13330
96,37,1.11975,13430
96,38,-0.98025,13435
96,39,-1.000272,13510
97,39,1.113208,13620
98,39,1.095881,13725
98,40,-0.98025,13780
99,40,1.114988,13885
99,41,-0.98025,13960
99,42,-0.98025,14050
100,42,1.125013,14145
100,43,-0.98025,14215
101,43,1.101768,14315
101,44,-1.000272,14405
102,44,1.11975,14505
103,44,1.100395,14630
103,45,-0.98025,14685
104,45,1.083061,14805
105,45,1.10282,14905
106,45,1.089818,15020
