Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-0.98025,70
0,2,-1.000272,175
0,3,-1.000272,230
0,4,-0.98025,340
1,4,1.100395,465
1,5,-1.000272,530
1,6,-1.000272,600
1,7,-0.98025,735
1,8,-0.98025,795
1,9,-1.000272,900
2,9,1.044976,1125
2,10,-1.000272,1195
2,11,-0.98025,1290
2,12,-0.98025,1390
2,13,-1.000272,1460
2,14,-0.98025,1510
2,15,-0.98025,1615
2,16,-0.98025,1720
2,17,-1.000272,1770
2,18,-1.000272,1895
2,19,-1.000272,1995
2,20,-0.98025,2105
2,21,-1.000272,2160
2,22,-1.000272,2280
2,23,-0.98025,2320
2,24,-1.000272,2430
2,25,-1.000272,2545
2,26,-0.98025,2610
2,27,-0.98025,2755
2,28,-0.98025,2820
2,29,-1.000272,2870
2,30,-1.000272,2945
2,31,-0.98025,3035
2,32,-1.000272,3150
2,33,-1.000272,3295
2,34,-1.000272,3365
2,35,-1.000272,3430
2,36,-1.000272,3535
2,37,-0.98025,3610
2,38,-1.000272,3650
2,39,-1.000272,3725
2,40,-0.98025,3785
2,41,-1.000272,3865
2,42,-1.000272,3925
2,43,-0.98025,3995
2,44,-1.000272,4125
2,45,-1.000272,4285
2,46,-1.000272,4355
2,47,-0.98025,4450
2,48,-1.000272,4500
2,49,-1.000272,4505
2,50,-0.98025,4630
2,51,-1.000272,4660
3,51,1.058207,4835
3,52,-0.98025,4895
4,52,1.097875,5025
4,53,-0.98025,5125
5,53,1.07823,5300
5,54,-1.000272,5355
5,55,-1.000272,5400
5,56,-1.000272,5405
5,57,-0.98025,5410
5,58,-1.000272,5465
5,59,-1.000272,5520
5,60,-0.98025,5575
5,61,-1.000272,5655
5,62,-1.000272,5715
5,63,-0.98025,5785
5,64,-1.000272,5790
5,65,-1.000272,5860
5,66,-1.000272,5865
5,67,-1.000272,5945
5,68,-1.000272,6075
5,69,-1.000272,6135
6,69,1.085539,6290
6,70,-1.000272,6370
6,71,-1.000272,6420
6,72,-0.98025,6515
6,73,-1.000272,6580
6,74,-1.000272,6660
6,75,-1.000272,6750
6,76,-0.98025,6840
7,76,1.065953,6995
7,77,-0.98025,7110
7,78,-1.000272,7230
7,79,-1.000272,7345
7,80,-1.000272,7445
7,81,-0.98025,7500
7,82,-1.000272,7550
7,83,-1.000272,7600
7,84,-0.98025,7675
7,85,-1.000272,7745
7,86,-0.98025,7860
8,86,1.06383,8020
8,87,-1.000272,8065
8,88,-1.000272,8200
8,89,-1.000272,8320
8,90,-1.000272,8375
8,91,-1.000272,8435
8,92,-1.000272,8470
8,93,-0.98025,8520
8,94,-1.000272,8630
9,94,1.10984,8745
9,95,-1.000272,8815
9,96,-1.000272,8855
9,97,-1.000272,8945
9,98,-0.98025,9100
9,99,-1.000272,9160
9,100,-1.000272,9275
9,101,-0.98025,9340
9,102,-0.98025,9445
9,103,-0.98025,9510
9,104,-1.000272,9630
9,105,-1.000272,9725
9,106,-0.98025,9735
9,107,-0.98025,9780
9,108,-1.000272,9915
9,109,-1.000272,10050
9,110,-1.000272,10140
9,111,-0.98025,10190
9,112,-1.000272,10285
9,113,-1.000272,10350
9,114,-0.98025,10435
10,114,1.041922,10675
10,115,-1.000272,10735
10,116,-1.000272,10795
10,117,-1.000272,10935
10,118,-1.000272,10990
10,119,-1.000272,11060
10,120,-1.000272,11185
10,121,-1.000272,11235
10,122,-1.000272,11340
10,123,-1.000272,11400
10,124,-1.000272,11485
10,125,-1.000272,11550
10,126,-0.98025,11655
10,127,-0.98025,11720
10,128,-1.000272,11880
10,129,-1.000272,11885
10,130,-1.000272,11955
10,131,-0.98025,12020
10,132,-0.98025,12085
10,133,-1.000272,12155
10,134,-0.98025,12235
10,135,-1.000272,12300
10,136,-1.000272,12425
10,137,-0.98025,12595
10,138,-1.000272,12675
10,139,-1.000272,12795
10,140,-1.000272,12925
10,141,-1.000272,12975
10,142,-1.000272,13045
11,142,1.060334,13210
11,143,-1.000272,13230
11,144,-1.000272,13305
11,145,-1.000272,13375
11,146,-1.000272,13435
11,147,-0.98025,13490
11,148,-1.000272,13605
11,149,-1.000272,13705
11,150,-1.000272,13820
11,151,-0.98025,13860
11,152,-0.98025,13910
11,153,-0.98025,13955
12,153,1.065953,14110
13,153,1.100395,14235
13,154,-1.000272,14265
13,155,-1.000272,14310
13,156,-1.000272,14380
13,157,-1.000272,14425
13,158,-1.000272,14495
13,159,-1.000272,14605
13,160,-0.98025,14765
13,161,-0.98025,14810
13,162,-1.000272,14870
13,163,-1.000272,14960
