Goals,Deaths,Reward,Step 
0,0,0,0
1,0,1.083279,120
2,0,1.094285,226
3,0,1.088441,339
4,0,1.088441,452
4,1,-1.000054,525
5,1,1.086902,640
6,1,1.084691,758
7,1,1.097408,865
8,1,1.091689,974
9,1,1.08259,1095
10,1,1.089231,1207
11,1,1.085416,1324
12,1,1.096543,1432
13,1,1.09404,1543
14,1,1.094859,1653
15,1,1.092446,1766
16,1,1.087984,1885
16,2,-0.99605,1957
17,2,1.086902,2072
18,2,1.088441,2185
19,2,1.09404,2296
20,2,1.089231,2408
21,2,1.088441,2521
22,2,1.093236,2633
23,2,1.080591,2757
24,2,1.094859,2867
25,2,1.086902,2982
26,2,1.095184,3087
27,2,1.083979,3206
28,2,1.088441,3319
28,3,-0.99605,3370
28,4,-0.99605,3422
29,4,1.086152,3538
30,4,1.09404,3649
30,5,-0.99605,3700
31,5,1.087283,3820
32,5,1.088441,3933
33,5,1.090036,4044
34,5,1.093403,4151
35,5,1.092538,4259
36,5,1.090036,4370
37,5,1.085416,4487
37,6,-1.000054,4604
38,6,1.093236,4716
39,6,1.086152,4832
40,6,1.095184,4937
41,6,1.081246,5060
42,6,1.090855,5170
43,6,1.090036,5281
43,7,-1.000054,5348
44,7,1.081246,5471
45,7,1.093403,5578
46,7,1.092538,5686
47,7,1.091689,5795
48,7,1.086152,5911
49,7,1.084691,6029
50,7,1.088441,6142
50,8,-0.99605,6193
51,8,1.083315,6319
52,8,1.081913,6441
52,9,-0.99605,6504
53,9,1.088441,6617
54,9,1.091689,6726
55,9,1.090036,6837
55,10,-0.99605,6891
56,10,1.091689,7000
57,10,1.090855,7110
58,10,1.088441,7223
59,10,1.089231,7335
60,10,1.088441,7448
61,10,1.086152,7564
62,10,1.077465,7693
63,10,1.087665,7807
64,10,1.090036,7918
65,10,1.083979,8037
66,10,1.09829,8143
67,10,1.090036,8254
68,10,1.092538,8362
69,10,1.090855,8472
70,10,1.085416,8589
71,10,1.08942,8706
72,10,1.095693,8815
73,10,1.087665,8929
73,11,-0.99605,8993
74,11,1.097408,9100
75,11,1.090907,9215
76,11,1.083279,9335
76,12,-1.000054,9391
77,12,1.083279,9511
78,12,1.088441,9624
79,12,1.089231,9736
80,12,1.096099,9840
81,12,1.080591,9964
82,12,1.092446,10077
83,12,1.085416,10194
84,12,1.084691,10312
84,13,-1.000054,10372
85,13,1.094859,10482
86,13,1.084691,10600
87,13,1.086902,10715
87,14,-0.99605,10778
88,14,1.09829,10884
89,14,1.094859,10994
89,15,-0.99605,11057
90,15,1.084691,11175
91,15,1.086152,11291
92,15,1.086902,11406
92,16,-0.99605,11457
93,16,1.091689,11566
94,16,1.087665,11680
95,16,1.083979,11799
96,16,1.087665,11913
97,16,1.090036,12024
98,16,1.099188,12129
98,17,-0.99605,12202
98,18,-0.99605,12262
99,18,1.094285,12368
100,18,1.091669,12482
101,18,1.086902,12597
102,18,1.089231,12709
103,18,1.084691,12827
104,18,1.090036,12938
104,19,-0.99605,13001
104,20,-1.000054,13057
105,20,1.079311,13183
106,20,1.092538,13291
107,20,1.094285,13397
108,20,1.093236,13509
108,21,-1.000054,13627
109,21,1.087665,13741
110,21,1.086902,13856
111,21,1.092538,13964
112,21,1.096099,14068
113,21,1.090855,14178
114,21,1.093236,14290
115,21,1.08259,14411
116,21,1.096099,14515
117,21,1.091689,14624
118,21,1.095693,14733
119,21,1.088441,14846
120,21,1.093403,14953
121,21,1.094285,15059
