Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1.000272,125
1,1,1.07272,265
2,1,1.061456,430
2,2,-0.98025,495
2,3,-1.000272,575
2,4,-0.98025,645
3,4,1.074355,780
4,4,1.079728,905
4,5,-0.98025,960
4,6,-0.98025,1040
5,6,1.088223,1155
5,7,-1.000272,1240
6,7,1.075485,1375
7,7,1.097875,1505
8,7,1.079093,1635
9,7,1.084473,1755
9,8,-0.98025,1895
9,9,-0.98025,2020
10,9,1.084473,2140
10,10,-0.98025,2190
10,11,-1.000272,2320
10,12,-1.000272,2405
10,13,-0.98025,2525
10,14,-1.000272,2605
11,14,1.11409,2715
11,15,-1.000272,2810
11,16,-0.98025,2880
11,17,-1.000272,2885
12,17,1.094938,3020
12,18,-0.98025,3115
12,19,-0.98025,3120
12,20,-0.98025,3235
13,20,1.083761,3355
14,20,1.088223,3470
14,21,-0.98025,3530
14,22,-1.000272,3635
14,23,-1.000272,3740
14,24,-0.98025,3820
14,25,-1.000272,3825
14,26,-0.98025,3900
14,27,-1.000272,3995
14,28,-1.000272,4085
15,28,1.089013,4200
16,28,1.102395,4325
17,28,1.101051,4450
18,28,1.085935,4570
19,28,1.108246,4685
19,29,-1.000272,4690
19,30,-0.98025,4805
19,31,-1.000272,4930
20,31,1.091471,5040
20,32,-0.98025,5120
20,33,-1.000272,5220
20,34,-1.000272,5340
20,35,-1.000272,5395
20,36,-0.98025,5480
21,36,1.078468,5610
22,36,1.062621,5770
22,37,-0.98025,5805
23,37,1.076064,5940
24,37,1.10984,6055
25,37,1.090637,6165
25,38,-0.98025,6255
25,39,-0.98025,6320
26,39,1.066842,6470
27,39,1.080373,6595
27,40,-0.98025,6665
27,41,-1.000272,6760
28,41,1.10522,6880
29,41,1.093186,6990
30,41,1.080373,7115
31,41,1.10522,7235
32,41,1.114988,7340
33,41,1.11409,7450
34,41,1.081695,7575
34,42,-1.000272,7695
35,42,1.077853,7825
35,43,-1.000272,7910
35,44,-0.98025,8005
36,44,1.069658,8150
36,45,-1.000272,8205
37,45,1.07167,8345
38,45,1.09849,8475
38,46,-1.000272,8565
38,47,-0.98025,8665
39,47,1.089013,8780
39,48,-1.000272,8855
40,48,1.11975,8955
40,49,-0.98025,9030
41,49,1.079093,9160
42,49,1.065517,9315
43,49,1.104496,9435
43,50,-0.98025,9545
43,51,-1.000272,9620
44,51,1.083761,9740
45,51,1.080373,9865
45,52,-1.000272,9945
46,52,1.088223,10060
46,53,-0.98025,10140
46,54,-0.98025,10145
47,54,1.094067,10255
47,55,-0.98025,10300
47,56,-0.98025,10390
48,56,1.116837,10495
48,57,-0.98025,10635
48,58,-1.000272,10775
49,58,1.077247,10905
50,58,1.114988,11010
51,58,1.080373,11135
51,59,-1.000272,11245
51,60,-0.98025,11360
52,60,1.084473,11480
52,61,-1.000272,11545
53,61,1.067295,11695
54,61,1.101051,11820
54,62,-1.000272,11955
54,63,-0.98025,11960
54,64,-1.000272,12115
55,64,1.101051,12240
55,65,-1.000272,12375
55,66,-0.98025,12465
56,66,1.095881,12570
57,66,1.104496,12690
57,67,-1.000272,12790
57,68,-1.000272,12905
57,69,-0.98025,12985
57,70,-0.98025,13045
57,71,-0.98025,13095
57,72,-1.000272,13155
58,72,1.081695,13280
59,72,1.065087,13435
59,73,-1.000272,13570
59,74,-0.98025,13665
59,75,-0.98025,13740
60,75,1.11409,13850
60,76,-1.000272,13970
60,77,-0.98025,14070
61,77,1.107469,14185
62,77,1.092743,14325
63,77,1.093186,14435
64,77,1.104496,14555
64,78,-0.98025,14620
65,78,1.090637,14730
65,79,-1.000272,14790
65,80,-1.000272,14895
66,80,1.104496,15015
