Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,65
0,2,-1,115
0,3,-1,225
0,4,-1,270
0,5,-1,355
0,6,-1,615
0,7,-1,1155
0,8,-1,1355
0,9,-1,1450
0,10,-1,1530
0,11,-1,1655
0,12,-1,1850
0,13,-1,1925
0,14,-1,2290
0,15,-1,2295
0,16,-1,2360
0,17,-1,2560
0,18,-1,2640
0,19,-1,2645
1,19,1.02445,3055
1,20,-1,3360
1,21,-1,3425
1,22,-1,3815
1,23,-1,3915
1,24,-1,4125
1,25,-1,4355
1,26,-1,4515
1,27,-1,4715
1,28,-1,4825
1,29,-1,4965
1,30,-1,5110
1,31,-1,5290
1,32,-1,5475
1,33,-1,5680
1,34,-1,6055
2,34,1.056818,6235
2,35,-1,6360
2,36,-1,6445
2,37,-1,6670
2,38,-1,6745
2,39,-1,6815
2,40,-1,6955
2,41,-1,7020
2,42,-1,7095
3,42,1.075758,7230
3,43,-1,7300
3,44,-1,7380
3,45,-1,7670
4,45,1.04,7920
4,46,-1,8155
4,47,-1,8210
4,48,-1,8270
4,49,-1,8390
4,50,-1,8570
4,51,-1,8705
4,52,-1,8875
4,53,-1,9185
4,54,-1,9340
4,55,-1,9555
4,56,-1,9635
4,57,-1,9685
5,57,1.034483,9975
6,57,1.048077,10185
6,58,-1,10240
6,59,-1,10375
6,60,-1,10765
6,61,-1,10860
6,62,-1,11045
7,62,1.029155,11390
7,63,-1,11615
7,64,-1,11620
7,65,-1,11810
7,66,-1,11865
7,67,-1,12375
7,68,-1,12505
8,68,1.02809,12865
8,69,-1,12910
8,70,-1,13030
8,71,-1,13225
8,72,-1,13410
8,73,-1,13465
8,74,-1,13630
8,75,-1,13715
8,76,-1,13955
8,77,-1,14005
8,78,-1,14280
8,79,-1,14335
8,80,-1,14585
9,80,1.034965,14875
10,80,1.067568,15025
