Goals,Deaths,Reward,Step 
0,0,0,0
1,0,1.070423,145
1,1,-1,275
2,1,1.077519,405
3,1,1.075758,540
4,1,1.076336,675
4,2,-1,795
4,3,-1,885
4,4,-1,970
4,5,-1,1065
4,6,-1,1155
4,7,-1,1195
4,8,-1,1300
4,9,-1,1360
5,9,1.081301,1485
6,9,1.08547,1605
6,10,-1,1685
6,11,-1,1770
6,12,-1,1835
7,12,1.08,1960
7,13,-1,2115
7,14,-1,2260
8,14,1.093458,2370
8,15,-1,2460
8,16,-1,2595
8,17,-1,2665
8,18,-1,2760
8,19,-1,2865
8,20,-1,2940
9,20,1.08,3065
9,21,-1,3135
10,21,1.075188,3270
11,21,1.08,3395
11,22,-1,3455
11,23,-1,3550
11,24,-1,3610
12,24,1.084746,3730
12,25,-1,3840
12,26,-1,3925
13,26,1.064516,4080
14,26,1.096154,4185
15,26,1.084034,4305
15,27,-1,4310
15,28,-1,4365
15,29,-1,4445
16,29,1.091743,4555
16,30,-1,4630
16,31,-1,4720
16,32,-1,4785
16,33,-1,4935
17,33,1.059172,5105
18,33,1.059524,5275
19,33,1.073529,5415
19,34,-1,5515
19,35,-1,5585
19,36,-1,5705
20,36,1.086957,5820
21,36,1.084034,5940
22,36,1.076336,6075
22,37,-1,6080
23,37,1.090909,6190
24,37,1.069444,6335
24,38,-1,6450
24,39,-1,6550
24,40,-1,6710
25,40,1.075188,6845
26,40,1.068027,6995
26,41,-1,7095
27,41,1.076923,7225
28,41,1.078125,7355
29,41,1.070423,7500
29,42,-1,7650
30,42,1.067568,7800
31,42,1.07874,7930
32,42,1.086207,8050
32,43,-1,8150
32,44,-1,8260
32,45,-1,8330
32,46,-1,8405
33,46,1.093458,8515
33,47,-1,8540
33,48,-1,8660
34,48,1.066667,8810
35,48,1.070423,8955
35,49,-1,9075
36,49,1.068027,9225
36,50,-1,9230
37,50,1.088496,9345
38,50,1.075758,9480
38,51,-1,9570
38,52,-1,9660
38,53,-1,9770
38,54,-1,9895
39,54,1.093458,10005
40,54,1.074074,10140
41,54,1.081301,10265
41,55,-1,10335
41,56,-1,10450
41,57,-1,10545
42,57,1.071429,10685
42,58,-1,10790
43,58,1.074627,10925
44,58,1.092593,11035
45,58,1.086957,11150
45,59,-1,11210
46,59,1.071429,11350
46,60,-1,11440
47,60,1.082645,11565
47,61,-1,11710
47,62,-1,11850
47,63,-1,11950
48,63,1.084034,12070
49,63,1.062893,12230
49,64,-1,12235
49,65,-1,12315
49,66,-1,12375
50,66,1.084746,12495
51,66,1.084746,12615
51,67,-1,12690
52,67,1.077519,12820
53,67,1.074627,12955
54,67,1.064516,13110
55,67,1.086957,13225
56,67,1.072993,13365
56,68,-1,13445
57,68,1.090909,13555
57,69,-1,13615
58,69,1.069444,13760
59,69,1.1,13860
59,70,-1,13930
59,71,-1,13990
59,72,-1,14040
59,73,-1,14090
59,74,-1,14160
59,75,-1,14230
59,76,-1,14305
59,77,-1,14380
60,77,1.082645,14505
60,78,-1,14620
60,79,-1,14715
61,79,1.066667,14865
62,79,1.073529,15005
