Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,80
0,2,-1,180
0,3,-1,270
1,3,1.059172,440
1,4,-1,480
1,5,-1,610
1,6,-1,665
1,7,-1,670
1,8,-1,745
1,9,-1,790
1,10,-1,850
1,11,-1,985
1,12,-1,1060
1,13,-1,1130
1,14,-1,1225
1,15,-1,1340
1,16,-1,1435
2,16,1.06135,1600
2,17,-1,1700
2,18,-1,1740
2,19,-1,1790
2,20,-1,1895
2,21,-1,1960
2,22,-1,2000
2,23,-1,2045
2,24,-1,2160
2,25,-1,2230
2,26,-1,2315
2,27,-1,2420
2,28,-1,2510
2,29,-1,2585
2,30,-1,2655
2,31,-1,2695
2,32,-1,2740
3,32,1.066225,2895
3,33,-1,2975
3,34,-1,3045
3,35,-1,3090
3,36,-1,3155
3,37,-1,3275
4,37,1.059524,3445
4,38,-1,3545
4,39,-1,3550
4,40,-1,3675
4,41,-1,3730
4,42,-1,3735
4,43,-1,3910
4,44,-1,4015
4,45,-1,4080
4,46,-1,4160
4,47,-1,4285
4,48,-1,4385
4,49,-1,4485
5,49,1.057143,4660
5,50,-1,4715
5,51,-1,4770
5,52,-1,4850
5,53,-1,4925
5,54,-1,4975
5,55,-1,5050
5,56,-1,5135
5,57,-1,5210
5,58,-1,5305
5,59,-1,5425
6,59,1.065359,5580
6,60,-1,5645
6,61,-1,5715
6,62,-1,5810
6,63,-1,5915
6,64,-1,6010
6,65,-1,6075
6,66,-1,6135
6,67,-1,6205
7,67,1.067114,6355
7,68,-1,6505
7,69,-1,6575
7,70,-1,6635
7,71,-1,6740
7,72,-1,6910
7,73,-1,6985
7,74,-1,7060
7,75,-1,7110
7,76,-1,7190
7,77,-1,7265
7,78,-1,7270
7,79,-1,7320
8,79,1.060976,7485
9,79,1.071942,7625
9,80,-1,7690
9,81,-1,7775
9,82,-1,7865
9,83,-1,7930
9,84,-1,8035
9,85,-1,8130
9,86,-1,8180
9,87,-1,8240
9,88,-1,8315
9,89,-1,8395
9,90,-1,8485
9,91,-1,8635
9,92,-1,8700
9,93,-1,8800
9,94,-1,8910
9,95,-1,9040
9,96,-1,9105
9,97,-1,9145
9,98,-1,9235
9,99,-1,9375
9,100,-1,9515
9,101,-1,9585
9,102,-1,9665
9,103,-1,9765
9,104,-1,9890
9,105,-1,9955
9,106,-1,10010
9,107,-1,10110
9,108,-1,10225
9,109,-1,10290
9,110,-1,10350
9,111,-1,10425
9,112,-1,10490
10,112,1.056818,10670
10,113,-1,10760
10,114,-1,10885
10,115,-1,10955
10,116,-1,11015
11,116,1.063291,11175
11,117,-1,11245
11,118,-1,11315
11,119,-1,11375
11,120,-1,11420
11,121,-1,11545
11,122,-1,11610
11,123,-1,11690
11,124,-1,11755
11,125,-1,11810
11,126,-1,11890
11,127,-1,11935
12,127,1.068966,12080
12,128,-1,12180
12,129,-1,12275
12,130,-1,12340
12,131,-1,12415
12,132,-1,12465
12,133,-1,12505
12,134,-1,12580
12,135,-1,12625
12,136,-1,12705
13,136,1.06993,12850
13,137,-1,12905
13,138,-1,12965
13,139,-1,13125
13,140,-1,13205
13,141,-1,13275
14,141,1.058824,13445
14,142,-1,13525
15,142,1.086957,13640
15,143,-1,13715
15,144,-1,13770
15,145,-1,13810
15,146,-1,13885
15,147,-1,13935
15,148,-1,14055
15,149,-1,14110
15,150,-1,14295
15,151,-1,14345
15,152,-1,14385
15,153,-1,14430
15,154,-1,14515
15,155,-1,14655
15,156,-1,14740
15,157,-1,14750
16,157,1.05814,14925
16,158,-1,15000
