Goals,Deaths,Reward,Step 
0,0,0,0
1,0,1.021552,465
1,1,-1,650
1,2,-1,805
1,3,-1,960
1,4,-1,1010
1,5,-1,1145
1,6,-1,1285
1,7,-1,1720
1,8,-1,1925
1,9,-1,2040
1,10,-1,2090
1,11,-1,2310
1,12,-1,2735
1,13,-1,3160
1,14,-1,3515
1,15,-1,3580
1,16,-1,3945
1,17,-1,4215
1,18,-1,4410
1,19,-1,5030
1,20,-1,5530
1,21,-1,5875
1,22,-1,5985
1,23,-1,6095
1,24,-1,6150
1,25,-1,6265
1,26,-1,6625
1,27,-1,7110
2,27,1.021142,7585
2,28,-1,8050
2,29,-1,8175
3,29,1.033113,8480
3,30,-1,8785
3,31,-1,8995
3,32,-1,9020
4,32,1.014992,9690
4,33,-1,9800
4,34,-1,10035
4,35,-1,10210
4,36,-1,10270
4,37,-1,10330
4,38,-1,10470
4,39,-1,10475
5,39,1.016807,11070
5,40,-1,11435
5,41,-1,11500
5,42,-1,11640
5,43,-1,11900
5,44,-1,12085
5,45,-1,12610
5,46,-1,12735
5,47,-1,12880
5,48,-1,13390
5,49,-1,13395
5,50,-1,13440
5,51,-1,13490
5,52,-1,13990
5,53,-1,14690
5,54,-1,14850
