Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,90
0,2,-1,210
0,3,-1,380
1,3,1.057804,555
1,4,-1,650
1,5,-1,720
2,5,1.042194,960
2,6,-1,1140
2,7,-1,1315
3,7,1.042194,1555
3,8,-1,1645
3,9,-1,1750
3,10,-1,1840
3,11,-1,1970
3,12,-1,2155
3,13,-1,2160
3,14,-1,2335
3,15,-1,2510
3,16,-1,2655
3,17,-1,2750
3,18,-1,2950
3,19,-1,3005
4,19,1.083333,3125
4,20,-1,3290
4,21,-1,3350
4,22,-1,3420
4,23,-1,3480
4,24,-1,3610
4,25,-1,3665
4,26,-1,3735
5,26,1.037879,4000
5,27,-1,4175
6,27,1.064935,4330
6,28,-1,4600
6,29,-1,4700
6,30,-1,4840
6,31,-1,4905
6,32,-1,4985
7,32,1.041667,5225
7,33,-1,5360
7,34,-1,5435
7,35,-1,5585
7,36,-1,5705
7,37,-1,5800
7,38,-1,5915
7,39,-1,6005
7,40,-1,6260
7,41,-1,6440
7,42,-1,6580
7,43,-1,6780
7,44,-1,6785
7,45,-1,6915
7,46,-1,6985
7,47,-1,7135
7,48,-1,7185
8,48,1.04878,7390
8,49,-1,7450
8,50,-1,7565
9,50,1.05848,7740
9,51,-1,7945
9,52,-1,8015
9,53,-1,8020
9,54,-1,8155
10,54,1.063694,8315
10,55,-1,8375
10,56,-1,8410
11,56,1.057471,8585
12,56,1.057143,8760
13,56,1.054054,8945
13,57,-1,9025
14,57,1.046729,9240
14,58,-1,9415
14,59,-1,9505
14,60,-1,9725
14,61,-1,10030
14,62,-1,10240
15,62,1.035211,10525
15,63,-1,10655
15,64,-1,10720
15,65,-1,10940
16,65,1.037453,11210
16,66,-1,11310
16,67,-1,11450
16,68,-1,11660
17,68,1.079365,11790
17,69,-1,11860
18,69,1.050251,12060
18,70,-1,12105
18,71,-1,12200
18,72,-1,12330
18,73,-1,12400
18,74,-1,12530
18,75,-1,12655
19,75,1.05988,12825
19,76,-1,13025
19,77,-1,13180
19,78,-1,13225
19,79,-1,13275
19,80,-1,13430
19,81,-1,13500
19,82,-1,13605
20,82,1.039216,13860
20,83,-1,13930
20,84,-1,14035
20,85,-1,14180
20,86,-1,14320
20,87,-1,14430
20,88,-1,14620
20,89,-1,14830
20,90,-1,14990
