Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,70
1,1,1.068966,215
1,2,-1,240
1,3,-1,390
1,4,-1,510
2,4,1.076923,640
2,5,-1,720
2,6,-1,905
2,7,-1,965
2,8,-1,1035
2,9,-1,1040
2,10,-1,1045
2,11,-1,1140
2,12,-1,1245
2,13,-1,1410
3,13,1.073529,1550
3,14,-1,1650
3,15,-1,1705
3,16,-1,1810
4,16,1.077519,1940
5,16,1.065789,2095
6,16,1.086957,2210
6,17,-1,2365
7,17,1.063291,2525
7,18,-1,2595
8,18,1.069444,2740
8,19,-1,2870
8,20,-1,2970
9,20,1.070423,3115
10,20,1.086957,3230
11,20,1.081967,3355
12,20,1.052083,3550
12,21,-1,3660
12,22,-1,3745
12,23,-1,3890
12,24,-1,3965
13,24,1.065789,4120
14,24,1.070922,4265
14,25,-1,4320
14,26,-1,4325
14,27,-1,4450
14,28,-1,4455
14,29,-1,4650
14,30,-1,4735
14,31,-1,4825
14,32,-1,4890
14,33,-1,5005
14,34,-1,5095
15,34,1.069444,5240
15,35,-1,5305
15,36,-1,5375
16,36,1.067568,5525
17,36,1.054645,5710
18,36,1.070423,5855
19,36,1.076336,5990
19,37,-1,6010
19,38,-1,6145
20,38,1.066225,6300
20,39,-1,6405
20,40,-1,6470
20,41,-1,6575
21,41,1.081301,6700
22,41,1.063291,6860
23,41,1.065359,7015
24,41,1.075758,7150
25,41,1.084034,7270
26,41,1.070423,7415
27,41,1.082645,7540
27,42,-1,7610
27,43,-1,7665
27,44,-1,7805
27,45,-1,7890
27,46,-1,7915
27,47,-1,8165
27,48,-1,8310
28,48,1.050505,8510
28,49,-1,8580
29,49,1.068966,8725
29,50,-1,8790
29,51,-1,8860
29,52,-1,8955
30,52,1.076336,9090
30,53,-1,9195
30,54,-1,9225
31,54,1.074074,9360
31,55,-1,9510
32,55,1.062893,9670
33,55,1.077519,9800
33,56,-1,9950
33,57,-1,10010
34,57,1.064935,10165
34,58,-1,10315
35,58,1.064935,10470
36,58,1.072464,10610
37,58,1.065789,10765
37,59,-1,10830
37,60,-1,10980
37,61,-1,11055
37,62,-1,11115
37,63,-1,11185
37,64,-1,11270
38,64,1.050505,11470
38,65,-1,11595
38,66,-1,11690
38,67,-1,11750
38,68,-1,11780
39,68,1.064103,11940
39,69,-1,12005
40,69,1.068493,12155
40,70,-1,12265
41,70,1.060606,12430
41,71,-1,12530
42,71,1.054945,12715
42,72,-1,12850
42,73,-1,12965
42,74,-1,13045
42,75,-1,13210
42,76,-1,13215
42,77,-1,13380
43,77,1.081301,13505
44,77,1.042553,13740
44,78,-1,13795
44,79,-1,13935
44,80,-1,13995
44,81,-1,14065
44,82,-1,14165
44,83,-1,14205
44,84,-1,14310
44,85,-1,14315
45,85,1.079365,14445
45,86,-1,14480
45,87,-1,14600
45,88,-1,14685
45,89,-1,14735
45,90,-1,14815
46,90,1.05848,14990
