Goals,Deaths,Reward,Step 
0,0,0,0
1,0,1.033113,305
1,1,-1,410
1,2,-1,665
1,3,-1,730
1,4,-1,820
2,4,1.041841,1060
2,5,-1,1325
2,6,-1,1455
2,7,-1,1605
3,7,1.018797,2140
3,8,-1,2215
4,8,1.034014,2510
4,9,-1,2605
4,10,-1,2730
5,10,1.050761,2930
5,11,-1,3035
5,12,-1,3195
5,13,-1,3250
5,14,-1,3375
5,15,-1,3690
5,16,-1,3760
5,17,-1,3825
6,17,1.02809,4185
6,18,-1,4315
6,19,-1,4320
6,20,-1,4445
6,21,-1,4615
6,22,-1,4655
6,23,-1,4820
6,24,-1,5000
6,25,-1,5195
6,26,-1,5200
6,27,-1,5250
6,28,-1,5435
6,29,-1,5525
7,29,1.033898,5820
7,30,-1,6015
8,30,1.02924,6360
8,31,-1,6545
8,32,-1,6600
9,32,1.032467,6910
9,33,-1,7060
9,34,-1,7240
9,35,-1,7550
9,36,-1,7700
9,37,-1,7985
9,38,-1,8060
9,39,-1,8165
9,40,-1,8405
9,41,-1,8475
9,42,-1,8695
9,43,-1,8735
9,44,-1,8980
9,45,-1,9050
9,46,-1,9345
9,47,-1,9545
10,47,1.047619,9755
10,48,-1,10010
10,49,-1,10290
11,49,1.04717,10505
11,50,-1,10695
11,51,-1,10700
11,52,-1,10705
11,53,-1,10710
11,54,-1,10870
11,55,-1,10925
11,56,-1,11165
11,57,-1,11420
11,58,-1,11490
11,59,-1,11560
11,60,-1,11685
12,60,1.059172,11855
12,61,-1,11915
12,62,-1,12115
12,63,-1,12465
12,64,-1,12650
12,65,-1,12735
12,66,-1,12890
12,67,-1,13135
12,68,-1,13210
13,68,1.028902,13560
13,69,-1,13635
13,70,-1,13765
13,71,-1,13880
13,72,-1,13960
14,72,1.044444,14185
14,73,-1,14410
14,74,-1,14470
14,75,-1,14540
14,76,-1,14665
14,77,-1,14835
