Goals,Deaths,Reward,Step 
0,0,0,0
1,0,1.203809,50
1,1,-1.000272,110
2,1,1.094067,220
3,1,1.107255,315
4,1,1.112087,405
5,1,1.203809,455
6,1,1.051541,650
6,2,-1.000272,740
7,2,1.204935,795
8,2,1.21975,845
8,2,-5.448073E-05,846
8,3,-1.000272,961
9,3,1.138616,1036
10,3,1.181546,1091
11,3,1.138798,1176
11,4,-1.000272,1241
11,5,-0.98025,1326
12,5,1.256138,1366
13,5,1.107255,1461
14,5,1.198321,1521
15,5,1.198321,1581
16,5,1.293845,1616
17,5,1.12964,1711
17,6,-0.98025,1776
18,6,1.087447,1891
19,6,1.090637,2001
19,7,-1.000272,2126
20,7,1.057199,2301
21,7,1.169219,2361
21,8,-0.98025,2421
21,9,-1.000272,2536
21,10,-0.98025,2586
22,10,1.192035,2641
23,10,1.183684,2706
24,10,1.17848,2771
25,10,1.127933,2851
26,10,1.110839,2941
27,10,1.129598,3021
27,11,-1.000272,3056
27,12,-0.98025,3096
28,12,1.208429,3151
29,12,1.263652,3196
29,13,-1.000272,3251
30,13,1.136029,3341
31,13,1.175166,3401
32,13,1.166394,3461
33,13,1.140232,3546
34,13,1.257845,3591
35,13,1.082372,3716
36,13,1.123184,3801
37,13,1.192164,3861
38,13,1.110839,3951
39,13,1.103894,4051
39,14,-1.000272,4096
39,15,-1.000272,4151
40,15,1.172141,4211
41,15,1.087447,4326
42,15,1.249728,4366
43,15,1.269998,4406
43,16,-1.000272,4516
44,16,1.124728,4596
45,16,1.237823,4641
46,16,1.123184,4726
46,17,-1.000272,4851
47,17,1.175166,4911
47,18,-1.000272,5011
48,18,1.148981,5081
49,18,1.192164,5141
50,18,1.080373,5266
51,18,1.142585,5336
52,18,1.247023,5381
53,18,1.134863,5456
54,18,1.126133,5551
55,18,1.232286,5596
56,18,1.178299,5656
57,18,1.175166,5716
58,18,1.101768,5816
59,18,1.158458,5881
60,18,1.140573,5956
61,18,1.06383,6116
62,18,1.148981,6186
63,18,1.142585,6256
63,19,-0.98025,6326
64,19,1.151243,6396
64,20,-1.000272,6581
64,21,-1.000272,6616
65,21,1.175166,6676
65,22,-1.000272,6736
65,23,-0.98025,6791
66,23,1.106111,6886
66,24,-1.000272,6936
67,24,1.175166,6996
68,24,1.228083,7046
69,24,1.153083,7121
69,25,-0.98025,7176
70,25,1.215828,7231
70,26,-1.000272,7281
71,26,1.161018,7346
71,27,-0.98025,7421
71,28,-0.98025,7471
72,28,1.293845,7506
73,28,1.162607,7576
73,29,-0.98025,7611
74,29,1.237823,7656
75,29,1.057531,7831
75,30,-1.000272,7876
76,30,1.342331,7911
77,30,1.172141,7971
78,30,1.13211,8061
79,30,1.223832,8111
79,31,-1.000272,8201
80,31,1.232286,8246
81,31,1.228083,8296
81,32,-1.000272,8341
81,33,-1.000272,8411
82,33,1.217119,8461
83,33,1.175166,8521
84,33,1.22195,8566
85,33,1.22195,8611
86,33,1.107255,8706
87,33,1.175166,8766
88,33,1.208061,8816
88,34,-1.000272,8871
89,34,1.121679,8956
90,34,1.121679,9041
91,34,1.12964,9136
91,35,-1.000272,9206
92,35,1.256138,9246
93,35,1.087447,9361
94,35,1.227,9406
95,35,1.144655,9476
95,36,-1.000272,9596
95,37,-1.000272,9646
96,37,1.217119,9696
96,38,-1.000272,9811
96,39,-1.000272,9861
97,39,1.163662,9926
98,39,1.143207,10011
99,39,1.203809,10061
100,39,1.195806,10116
101,39,1.175166,10176
101,40,-1.000272,10241
102,40,1.155978,10306
103,40,1.192035,10361
103,41,-1.000272,10436
104,41,1.178299,10496
104,42,-1.000272,10531
105,42,1.100738,10631
106,42,1.212494,10681
107,42,1.101768,10781
