Goals,Deaths,Reward,Step 
0,0,0,0
1,0,1.232286,45
2,0,1.104991,140
3,0,1.0811,305
3,1,-1.000272,380
4,1,1.14475,460
5,1,1.166394,520
5,2,-1.000272,570
6,2,1.138798,655
7,2,1.195806,710
8,2,1.203809,760
8,2,-5.448073E-05,761
9,2,1.189242,821
10,2,1.13211,911
10,3,-1.000272,1026
11,3,1.217119,1076
11,4,-1.000272,1111
12,4,1.277505,1151
12,5,-1.000272,1196
13,5,1.134863,1271
14,5,1.208429,1326
14,6,-1.000272,1421
14,7,-1.000272,1506
14,8,-1.000272,1566
15,8,1.199728,1616
16,8,1.158458,1681
16,9,-1.000272,1766
17,9,1.143207,1851
18,9,1.142585,1921
19,9,1.148981,1991
20,9,1.133061,2066
20,10,-1.000272,2126
20,11,-1.000272,2196
21,11,1.146786,2266
22,11,1.146332,2346
23,11,1.077853,2476
23,12,-0.98025,2541
23,13,-0.98025,2626
23,14,-1.000272,2661
24,14,1.10984,2776
24,15,-0.98025,2926
25,15,1.199728,2976
26,15,1.137397,3061
26,16,-1.000272,3121
27,16,1.124728,3201
28,16,1.094067,3311
28,17,-1.000272,3361
28,18,-1.000272,3456
28,19,-1.000272,3551
29,19,1.217119,3601
30,19,1.129598,3681
31,19,1.057531,3856
32,19,1.136029,3946
32,20,-1.000272,4006
33,20,1.131307,4086
33,21,-1.000272,4151
33,22,-1.000272,4226
34,22,1.178299,4286
35,22,1.228083,4336
35,23,-1.000272,4461
35,24,-0.98025,4516
36,24,1.093186,4626
37,24,1.14962,4706
37,25,-1.000272,4771
38,25,1.199728,4821
39,25,1.106111,4916
40,25,1.112087,5006
41,25,1.181546,5061
42,25,1.208429,5116
43,25,1.085198,5236
44,25,1.188407,5291
45,25,1.228083,5341
46,25,1.163662,5406
47,25,1.192035,5461
48,25,1.169004,5531
49,25,1.074916,5666
50,25,1.140232,5751
51,25,1.184913,5806
52,25,1.156736,5881
52,26,-1.000272,6016
53,26,1.312228,6051
54,26,1.161018,6116
55,26,1.184913,6171
56,26,1.101051,6296
57,26,1.155978,6361
57,27,-0.98025,6426
58,27,1.13211,6516
59,27,1.108423,6611
60,27,1.199728,6661
61,27,1.188407,6716
61,28,-0.98025,6776
62,28,1.113364,6866
63,28,1.199728,6916
64,28,1.166809,6986
65,28,1.166809,7056
66,28,1.153083,7131
66,29,-1.000272,7216
67,29,1.081028,7341
67,30,-1.000272,7391
68,30,1.049728,7591
69,30,1.09232,7701
70,30,1.148981,7771
71,30,1.108246,7886
72,30,1.052359,8076
73,30,1.169219,8136
74,30,1.086684,8251
75,30,1.186417,8311
76,30,1.208429,8366
77,30,1.252308,8411
78,30,1.14475,8491
79,30,1.094067,8601
80,30,1.212058,8656
81,30,1.181546,8711
81,31,-0.98025,8756
82,31,1.094966,8861
83,31,1.161018,8926
83,32,-1.000272,8981
83,33,-0.98025,9026
84,33,1.138616,9101
84,34,-1.000272,9156
84,35,-1.000272,9201
85,35,1.110659,9311
85,36,-1.000272,9341
86,36,1.26975,9381
87,36,1.131307,9461
88,36,1.109618,9556
89,36,1.077247,9686
90,36,1.086684,9801
90,37,-0.98025,9866
91,37,1.322308,9901
92,37,1.163662,9966
93,37,1.169219,10026
94,37,1.134863,10101
94,38,-1.000272,10186
94,39,-1.000272,10261
95,39,1.10282,10361
