Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1.000272,110
1,1,1.140573,185
2,1,1.237823,230
3,1,1.146786,300
4,1,1.144655,370
5,1,1.172141,430
5,2,-0.98025,665
5,3,-1.000272,825
6,3,1.095881,930
7,3,1.212494,980
7,3,-5.448073E-05,981
7,4,-1.000272,1181
8,4,1.148981,1251
9,4,1.161018,1316
9,5,-0.98025,1411
10,5,1.203809,1461
11,5,1.123917,1561
12,5,1.062621,1721
13,5,1.138798,1806
14,5,1.092214,1946
15,5,1.215828,2001
16,5,1.089818,2116
17,5,1.134863,2191
18,5,1.130861,2281
19,5,1.065517,2436
19,6,-1.000272,2561
20,6,1.192164,2621
20,7,-1.000272,2771
21,7,1.199728,2821
22,7,1.142585,2891
22,8,-1.000272,3016
22,9,-1.000272,3271
23,9,1.166394,3331
24,9,1.094067,3441
25,9,1.148981,3511
26,9,1.164678,3581
27,9,1.166394,3641
28,9,1.212494,3691
29,9,1.158458,3756
29,10,-1.000272,3901
29,11,-1.000272,4056
30,11,1.11876,4161
31,11,1.101768,4261
32,11,1.121679,4346
33,11,1.093186,4456
33,12,-1.000272,4641
34,12,1.203809,4691
35,12,1.101051,4816
36,12,1.10282,4916
37,12,1.277505,4956
38,12,1.12631,5036
39,12,1.18104,5101
40,12,1.144655,5171
41,12,1.057531,5346
42,12,1.12631,5426
42,13,-1.000272,5536
43,13,1.166809,5606
44,13,1.204935,5661
45,13,1.237141,5711
46,13,1.155978,5776
47,13,1.232286,5821
48,13,1.151243,5891
48,14,-1.000272,6031
49,14,1.153574,6096
50,14,1.183684,6161
51,14,1.186417,6221
52,14,1.114988,6326
53,14,1.121791,6426
54,14,1.223832,6476
55,14,1.232516,6526
56,14,1.192035,6581
57,14,1.169219,6641
57,15,-0.98025,6861
58,15,1.156736,6936
58,16,-1.000272,7126
59,16,1.109618,7221
60,16,1.121679,7306
61,16,1.140232,7391
62,16,1.101768,7491
62,17,-1.000272,7586
62,18,-1.000272,7741
62,19,-1.000272,7896
63,19,1.256138,7936
64,19,1.199728,7986
65,19,1.24363,8031
65,20,-1.000272,8086
66,20,1.184913,8141
67,20,1.192164,8201
67,21,-1.000272,8446
68,21,1.164678,8516
68,22,-1.000272,8601
69,22,1.232286,8646
70,22,1.189242,8706
71,22,1.121791,8806
72,22,1.158458,8871
73,22,1.142585,8941
74,22,1.059608,9111
75,22,1.215828,9166
76,22,1.171265,9236
77,22,1.208061,9286
78,22,1.098737,9391
79,22,1.131307,9471
80,22,1.166394,9531
81,22,1.11467,9621
81,23,-1.000272,9756
81,24,-1.000272,9926
82,24,1.172141,9986
83,24,1.143207,10071
84,24,1.140573,10146
85,24,1.099728,10246
86,24,1.173596,10311
86,25,-1.000272,10421
87,25,1.113364,10511
87,26,-0.98025,10641
88,26,1.175166,10701
88,27,-1.000272,10931
89,27,1.178299,10991
90,27,1.148981,11061
91,27,1.256138,11101
92,27,1.140573,11176
93,27,1.131307,11256
94,27,1.232516,11306
95,27,1.155978,11371
95,28,-1.000272,11531
96,28,1.217119,11581
97,28,1.123184,11666
97,29,-1.000272,11731
98,29,1.192035,11786
99,29,1.144655,11856
100,29,1.091471,11966
101,29,1.203809,12016
102,29,1.333061,12046
103,29,1.153574,12111
104,29,1.169004,12181
104,30,-0.98025,12336
105,30,1.138616,12411
106,30,1.103894,12511
106,31,-0.98025,12621
107,31,1.122843,12721
108,31,1.094966,12826
