Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1.000272,5
0,2,-0.98025,10
0,3,-1.000054,90
0,4,-1,115
0,5,-1.000272,120
0,6,-1.000272,125
0,7,-1,215
0,8,-1.000168,255
0,9,-1.000163,305
0,10,-0.9842,365
1,10,1.107469,480
2,10,1.175166,540
2,11,-1.000163,570
2,12,-1.000054,571
2,12,-1.000054,571
2,13,-1.00028,641
2,14,-1,691
3,14,1.117375,776
3,15,-1.000168,821
3,16,-1,881
3,17,-0.98025,941
3,18,-1.00028,946
3,19,-1.000218,1036
3,20,-1.000054,1056
3,21,-1.000056,1081
3,22,-1.000272,1151
3,23,-1.000272,1156
3,24,-0.98025,1221
3,25,-0.98025,1296
3,26,-1.000163,1411
3,27,-1.000272,1416
3,28,-0.9921,1461
3,29,-1.000054,1626
3,30,-1.000218,1681
3,31,-1.000054,1731
3,32,-1.00028,1791
3,33,-1.000272,1796
3,34,-1.000112,1826
3,35,-1.00028,1886
3,36,-1.000224,2001
3,37,-1.000054,2051
4,37,1.089818,2166
4,38,-1.000272,2231
4,39,-1.000272,2306
4,40,-1,2431
4,41,-0.98025,2571
4,42,-1.000272,2576
4,43,-1.000168,2676
5,43,1.215828,2731
5,44,-1.000272,2861
5,45,-1,2906
5,46,-1.000272,3026
5,47,-0.98025,3106
5,48,-0.98025,3111
5,49,-1.000272,3116
5,50,-1.000272,3121
5,51,-1.00028,3141
5,52,-0.98025,3201
5,54,-2.000164,3266
5,55,-0.98025,3326
5,56,-1,3406
5,57,-1.000272,3411
5,58,-0.98025,3416
5,59,-1,3476
5,60,-1.000168,3521
5,61,-1.000163,3551
6,61,1.127933,3631
6,63,-1.9842,3691
6,64,-0.99605,3736
6,65,-0.98025,3801
6,66,-1.00028,3806
6,67,-1.000272,3811
7,67,1.136714,3886
7,68,-1.00028,3956
7,69,-1,4011
7,70,-1.000272,4016
8,70,1.204935,4071
8,71,-1.000109,4166
8,72,-1.000272,4291
8,74,-2.000224,4351
8,75,-0.98025,4416
8,76,-0.98025,4421
8,77,-1,4496
8,78,-1.000272,4501
8,79,-1.000272,4641
8,80,-1.00028,4776
8,81,-1.000163,4806
8,82,-1.000272,4811
8,83,-1.000054,4876
8,84,-1.000272,4936
8,85,-1.000109,5041
8,86,-1.000272,5096
8,87,-1.000163,5131
9,87,1.03941,5386
9,88,-1.000218,5441
9,89,-1.000272,5446
9,90,-1.000272,5451
9,91,-1.000272,5511
9,92,-1.000272,5516
9,93,-1.000054,5571
9,94,-1.000272,5576
9,95,-1.000112,5616
9,96,-1.000272,5696
10,96,1.188399,5751
10,97,-1.000272,5871
10,98,-1.000163,5911
10,99,-1.00028,6031
10,100,-0.9842,6151
10,101,-1.000272,6216
10,102,-1,6251
10,103,-1.000109,6286
10,104,-1.000109,6351
10,105,-0.9921,6481
10,106,-1,6536
10,107,-0.9921,6596
10,108,-1.000056,6676
11,108,1.186417,6736
11,109,-1.000168,6796
11,110,-1.000218,6916
11,111,-1.000272,6921
11,112,-1.00028,7046
11,113,-1.000218,7091
11,114,-0.98025,7166
11,115,-1.000272,7241
11,116,-0.9921,7281
11,117,-1.000272,7341
11,118,-0.98025,7346
11,119,-1.000054,7396
11,120,-1.000163,7496
11,121,-1.000218,7536
11,122,-1,7651
11,123,-0.98025,7711
11,124,-1.000054,7831
11,125,-1,7931
11,126,-0.98025,7991
11,127,-1.000054,8036
11,128,-0.9842,8096
11,129,-1.000112,8146
11,130,-1.000163,8251
12,130,1.178299,8311
13,130,1.074355,8446
13,131,-1.000224,8496
13,132,-1.000272,8501
13,133,-0.98025,8576
13,134,-1,8586
13,135,-0.9842,8646
13,136,-0.98025,8651
13,137,-1.000272,8711
13,138,-1.00028,8716
13,139,-1,8831
13,140,-1.000054,8951
13,141,-1,9036
13,142,-1.000272,9041
13,143,-1.000056,9096
13,144,-1.000272,9166
13,145,-1.000109,9266
13,146,-1.000272,9271
13,147,-0.99605,9391
13,148,-1.000272,9451
14,148,1.186417,9511
15,148,1.131299,9591
15,149,-1.000272,9596
15,150,-1,9611
15,151,-1.00028,9626
15,152,-1.00028,9631
15,153,-1.000224,9676
15,154,-0.98025,9681
15,155,-1.000272,9741
15,156,-1.000054,9781
15,157,-1.000272,9786
16,157,1.166394,9846
17,157,1.146786,9916
17,158,-1.000272,9981
17,159,-1.000272,10101
17,160,-1.000054,10156
17,161,-1.000272,10231
17,162,-1.000272,10351
17,163,-1.00028,10411
17,164,-1,10536
17,165,-0.98025,10541
17,166,-1.000272,10611
17,167,-1.000272,10671
17,168,-1.000272,10811
17,169,-1.00028,10871
17,170,-1.000218,10991
