Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,110
0,2,-1,180
0,3,-1,260
0,4,-1,345
0,5,-1,395
0,6,-1,455
0,7,-1,545
0,8,-1,605
0,9,-1,645
0,10,-1,725
0,11,-1,775
0,12,-1,865
0,13,-1,980
0,14,-1,1035
0,15,-1,1140
0,16,-1,1195
0,17,-1,1285
0,18,-1,1340
1,18,1.049261,1545
1,19,-1,1730
1,20,-1,1805
1,21,-1,1860
1,22,-1,1955
1,23,-1,2105
1,24,-1,2180
1,25,-1,2240
1,26,-1,2295
1,27,-1,2415
1,28,-1,2570
1,29,-1,2615
1,30,-1,2705
1,31,-1,2805
1,32,-1,2875
1,33,-1,2990
2,33,1.067568,3140
2,34,-1,3200
2,35,-1,3390
2,36,-1,3455
2,37,-1,3540
2,38,-1,3675
2,39,-1,3740
2,40,-1,3890
2,41,-1,3980
2,42,-1,4015
2,43,-1,4185
2,44,-1,4240
2,45,-1,4390
2,46,-1,4430
3,46,1.03663,4705
3,47,-1,4870
3,48,-1,5000
3,49,-1,5065
3,50,-1,5210
3,51,-1,5360
3,52,-1,5440
3,53,-1,5555
3,54,-1,5625
3,55,-1,5700
3,56,-1,5830
3,57,-1,5960
3,58,-1,6040
3,59,-1,6120
3,60,-1,6185
3,61,-1,6270
3,62,-1,6345
3,63,-1,6425
3,64,-1,6550
3,65,-1,6690
3,66,-1,6765
4,66,1.049751,6970
4,67,-1,7085
4,68,-1,7245
4,69,-1,7360
4,70,-1,7460
4,71,-1,7525
4,72,-1,7565
4,73,-1,7635
4,74,-1,7730
4,75,-1,7785
4,76,-1,7900
4,77,-1,8000
4,78,-1,8085
4,79,-1,8165
5,79,1.05848,8340
5,80,-1,8395
5,81,-1,8460
5,82,-1,8635
5,83,-1,8695
5,84,-1,8890
5,85,-1,8980
5,86,-1,9055
5,87,-1,9120
5,88,-1,9210
5,89,-1,9400
5,90,-1,9560
5,91,-1,9625
5,92,-1,9725
5,93,-1,9820
5,94,-1,9915
5,95,-1,9965
5,96,-1,10035
5,97,-1,10145
5,98,-1,10270
5,99,-1,10350
5,100,-1,10400
5,101,-1,10495
5,102,-1,10635
5,103,-1,10670
5,104,-1,10725
5,105,-1,10765
5,106,-1,10815
5,107,-1,10870
5,108,-1,10995
5,109,-1,11110
5,110,-1,11250
5,111,-1,11310
5,112,-1,11390
5,113,-1,11515
5,114,-1,11640
5,115,-1,11760
5,116,-1,11940
5,117,-1,12095
5,118,-1,12140
5,119,-1,12260
5,120,-1,12310
5,121,-1,12420
5,122,-1,12545
5,123,-1,12635
5,124,-1,12785
6,124,1.043668,13015
6,125,-1,13130
6,126,-1,13180
6,127,-1,13260
6,128,-1,13460
6,129,-1,13525
6,130,-1,13600
6,131,-1,13665
6,132,-1,13805
6,133,-1,13920
6,134,-1,14040
6,135,-1,14155
6,136,-1,14260
6,137,-1,14325
6,138,-1,14465
6,139,-1,14540
6,140,-1,14670
6,141,-1,14785
6,142,-1,14910
6,143,-1,15065
6,144,-1,15135
6,145,-1,15230
6,146,-1,15355
6,147,-1,15420
6,148,-1,15490
6,149,-1,15605
6,150,-1,15725
6,151,-1,15775
6,152,-1,15870
6,153,-1,15935
6,154,-1,16035
6,155,-1,16095
6,156,-1,16165
6,157,-1,16230
6,158,-1,16325
6,159,-1,16500
6,160,-1,16570
6,161,-1,16690
6,162,-1,16770
6,163,-1,16970
6,164,-1,17080
