Goals,Deaths,Reward,Step 
0,0,0,0
1,0,1.072993,140
1,1,-1,405
1,2,-1,530
1,3,-1,790
2,3,1.054348,975
3,3,1.059172,1145
3,4,-1,1300
3,5,-1,1470
3,6,-1,1790
4,6,1.074074,1925
4,7,-1,2135
5,7,1.082645,2260
5,8,-1,2405
6,8,1.064935,2560
7,8,1.052356,2755
8,8,1.072993,2895
9,8,1.096154,3000
10,8,1.096154,3105
11,8,1.071429,3245
12,8,1.102041,3345
12,9,-1,3350
12,10,-1,3555
12,11,-1,3690
12,12,-1,3785
12,13,-1,3905
13,13,1.093458,4015
14,13,1.064516,4170
15,13,1.081301,4295
16,13,1.059172,4465
16,14,-1,4620
16,15,-1,4755
16,16,-1,4970
17,16,1.095238,5075
17,17,-1,5375
18,17,1.048544,5585
18,18,-1,5715
19,18,1.042918,5950
19,19,-1,6100
19,20,-1,6275
20,20,1.103093,6375
21,20,1.107527,6470
22,20,1.084034,6590
23,20,1.096154,6695
24,20,1.05618,6875
24,21,-1,7010
25,21,1.091743,7120
26,21,1.075758,7255
26,22,-1,7340
27,22,1.05814,7515
27,23,-1,7775
27,24,-1,7895
28,24,1.043103,8130
28,25,-1,8215
28,26,-1,8370
29,26,1.055249,8555
30,26,1.082645,8680
30,27,-1,8840
30,28,-1,8970
31,28,1.07874,9100
31,29,-1,9485
32,29,1.053476,9675
33,29,1.080645,9800
33,30,-1,9975
34,30,1.066225,10130
35,30,1.036232,10410
36,30,1.05848,10585
37,30,1.045455,10805
37,31,-1,10955
37,32,-1,11140
37,33,-1,11265
37,34,-1,11375
38,34,1.073529,11515
38,35,-1,11645
39,35,1.086957,11760
40,35,1.060976,11925
41,35,1.059524,12095
42,35,1.063291,12255
42,36,-1,12435
42,37,-1,12620
42,38,-1,12785
42,39,-1,13000
43,39,1.102041,13100
43,40,-1,13280
43,41,-1,13440
43,42,-1,13610
43,43,-1,13795
43,44,-1,13990
44,44,1.095238,14095
45,44,1.043103,14330
46,44,1.050761,14530
46,45,-1,14715
46,46,-1,14835
46,47,-1,14930
47,47,1.08547,15050
48,47,1.058824,15220
48,48,-1,15330
49,48,1.066667,15480
49,49,-1,15535
50,49,1.064103,15695
51,49,1.08547,15815
52,49,1.050251,16015
53,49,1.057471,16190
54,49,1.091743,16300
54,50,-1,16500
54,51,-1,16680
54,52,-1,16925
55,52,1.10101,17025
56,52,1.051546,17220
57,52,1.047619,17430
58,52,1.04878,17635
58,53,-1,17775
58,54,-1,17985
59,54,1.043478,18215
60,54,1.04878,18420
60,55,-1,18565
60,56,-1,18715
61,56,1.068493,18865
61,57,-1,19060
61,58,-1,19165
61,59,-1,19330
62,59,1.102041,19430
62,60,-1,19660
62,61,-1,19805
62,62,-1,19915
63,62,1.05291,20105
64,62,1.086957,20220
65,62,1.072993,20360
66,62,1.053763,20550
66,63,-1,20690
66,64,-1,20780
67,64,1.052083,20975
68,64,1.107527,21070
68,65,-1,21180
69,65,1.079365,21310
69,66,-1,21415
69,67,-1,21600
70,67,1.032154,21915
70,68,-1,22135
70,69,-1,22315
70,70,-1,22495
70,71,-1,22635
71,71,1.126582,22715
71,72,-1,22880
71,73,-1,23010
71,74,-1,23210
71,75,-1,23350
71,76,-1,23470
71,77,-1,23620
71,78,-1,23765
72,78,1.091743,23875
73,78,1.068027,24025
73,79,-1,24150
74,79,1.070423,24295
74,80,-1,24455
74,81,-1,24615
75,81,1.070922,24760
75,82,-1,24925
76,82,1.0625,25085
76,83,-1,25255
76,84,-1,25335
77,84,1.057143,25510
77,85,-1,25730
78,85,1.075758,25865
79,85,1.06135,26030
79,86,-1,26220
79,87,-1,26350
79,88,-1,26500
79,89,-1,26670
79,90,-1,26785
79,91,-1,26940
80,91,1.103093,27040
81,91,1.070922,27185
82,91,1.05,27385
83,91,1.059524,27555
83,92,-1,27800
84,92,1.10989,27895
85,92,1.05291,28085
85,93,-1,28205
85,94,-1,28345
86,94,1.091743,28455
87,94,1.04902,28660
87,95,-1,28840
87,96,-1,29025
87,97,-1,29115
88,97,1.081967,29240
89,97,1.096154,29345
89,98,-1,29495
89,99,-1,29620
89,100,-1,29775
90,100,1.051546,29970
91,100,1.064103,30130
91,101,-1,30365
92,101,1.05102,30565
93,101,1.09901,30670
93,102,-1,30815
94,102,1.136986,30890
95,102,1.069444,31035
96,102,1.063694,31195
97,102,1.036364,31470
98,102,1.055556,31650
98,103,-1,31840
99,103,1.062893,32000
100,103,1.046083,32220
100,104,-1,32450
100,105,-1,32625
101,105,1.104167,32725
102,105,1.08547,32845
102,106,-1,32990
102,107,-1,33195
102,108,-1,33390
103,108,1.05,33590
103,109,-1,33855
103,110,-1,34090
103,111,-1,34185
104,111,1.08,34310
105,111,1.072993,34450
105,112,-1,34575
106,112,1.044444,34800
107,112,1.142857,34870
107,113,-1,35100
107,114,-1,35320
108,114,1.107527,35415
108,115,-1,35555
109,115,1.058824,35725
109,116,-1,35900
109,117,-1,36210
110,117,1.138889,36285
111,117,1.060241,36455
111,118,-1,36780
111,119,-1,36940
112,119,1.076336,37075
112,120,-1,37220
113,120,1.084746,37340
113,121,-1,37475
113,122,-1,37665
114,122,1.051546,37860
114,123,-1,38090
114,124,-1,38290
115,124,1.113636,38380
115,125,-1,38555
115,126,-1,38735
116,126,1.024096,39150
117,126,1.055556,39330
118,126,1.076336,39465
118,127,-1,39630
119,127,1.084746,39750
119,128,-1,39870
119,129,-1,39990
120,129,1.05848,40165
120,130,-1,40290
120,131,-1,40410
121,131,1.065789,40565
121,132,-1,40735
122,132,1.083333,40855
123,132,1.069444,41000
124,132,1.060976,41165
124,133,-1,41390
124,134,-1,41580
125,134,1.066225,41735
126,134,1.103093,41835
127,134,1.081301,41960
127,135,-1,42145
127,136,-1,42340
128,136,1.093458,42450
128,137,-1,42685
129,137,1.08547,42805
130,137,1.038168,43070
130,138,-1,43230
130,139,-1,43375
131,139,1.056497,43555
131,140,-1,43665
132,140,1.095238,43770
133,140,1.066667,43920
133,141,-1,44010
133,142,-1,44195
133,143,-1,44380
133,144,-1,44515
134,144,1.050251,44715
134,145,-1,44845
135,145,1.065359,45000
136,145,1.123457,45085
137,145,1.041494,45330
138,145,1.093458,45440
139,145,1.114943,45530
139,146,-1,45640
139,147,-1,45760
140,147,1.057471,45935
141,147,1.054054,46120
141,148,-1,46295
141,149,-1,46435
141,150,-1,46610
141,151,-1,46845
142,151,1.084746,46965
142,152,-1,47080
142,153,-1,47190
142,154,-1,47310
143,154,1.053763,47500
144,154,1.068493,47650
145,154,1.054945,47835
145,155,-1,48035
146,155,1.05814,48210
146,156,-1,48390
147,156,1.047619,48600
147,157,-1,48745
148,157,1.076336,48880
148,158,-1,48975
149,158,1.05814,49150
149,159,-1,49265
150,159,1.046296,49485
151,159,1.06993,49630
152,159,1.05102,49830
153,159,1.064103,49990
153,160,-1,50165
153,161,-1,50375
153,162,-1,50590
154,162,1.106383,50685
155,162,1.087719,50800
155,163,-1,50925
155,164,-1,51035
155,165,-1,51155
155,166,-1,51335
155,167,-1,51470
155,168,-1,51580
156,168,1.07874,51710
157,168,1.033223,52015
157,169,-1,52110
157,170,-1,52315
158,170,1.103093,52415
159,170,1.088496,52530
159,171,-1,52685
160,171,1.071429,52825
160,172,-1,53015
160,173,-1,53125
161,173,1.083333,53245
162,173,1.075758,53380
162,174,-1,53560
162,175,-1,53685
162,176,-1,53790
163,176,1.065359,53945
163,177,-1,54135
163,178,-1,54250
163,179,-1,54390
163,180,-1,54400
164,180,1.108696,54495
164,181,-1,54570
165,181,1.076336,54705
165,182,-1,54840
165,183,-1,54980
165,184,-1,55190
165,185,-1,55365
165,186,-1,55520
165,187,-1,55650
166,187,1.06135,55815
166,188,-1,55905
167,188,1.096154,56010
168,188,1.044643,56235
168,189,-1,56295
169,189,1.05848,56470
170,189,1.057471,56645
171,189,1.07874,56775
171,190,-1,56875
172,190,1.061728,57040
173,190,1.079365,57170
173,191,-1,57225
174,191,1.120482,57310
174,192,-1,57425
175,192,1.064103,57585
176,192,1.070423,57730
176,193,-1,57835
177,193,1.063694,57995
178,193,1.091743,58105
178,194,-1,58245
178,195,-1,58360
178,196,-1,58550
179,196,1.106383,58645
180,196,1.060976,58810
180,197,-1,59020
180,198,-1,59165
181,198,1.095238,59270
181,199,-1,59425
181,200,-1,59570
182,200,1.073529,59710
182,201,-1,59840
182,202,-1,60035
182,203,-1,60145
182,204,-1,60265
