Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,125
0,2,-1,295
0,3,-1,370
0,4,-1,375
1,4,1.153846,440
1,5,-1,500
1,6,-1,555
1,7,-1,560
1,8,-1,565
1,9,-1,630
1,10,-1,650
1,11,-1,655
1,12,-1,690
1,13,-1,755
1,14,-1,820
1,15,-1,870
1,16,-1,1105
1,17,-1,1155
1,18,-1,1195
1,19,-1,1200
1,20,-1,1260
1,21,-1,1335
1,22,-1,1380
1,23,-1,1455
1,24,-1,1515
1,25,-1,1565
1,26,-1,1570
1,27,-1,1635
1,28,-1,1690
1,29,-1,1790
1,30,-1,1850
1,31,-1,1855
1,32,-1,1870
1,33,-1,1875
1,34,-1,2005
1,35,-1,2045
1,36,-1,2105
1,37,-1,2195
1,38,-1,2240
1,39,-1,2275
1,40,-1,2375
1,41,-1,2455
1,42,-1,2525
1,43,-1,2625
1,44,-1,2785
1,45,-1,2900
1,47,-2,2960
1,48,-1,3065
1,49,-1,3100
1,50,-1,3135
1,51,-1,3505
1,52,-1,3510
1,53,-1,3550
1,54,-1,3555
1,55,-1,3595
1,56,-1,3640
1,58,-2,3705
1,59,-1,3800
1,60,-1,3875
1,61,-1,3920
1,62,-1,3995
1,63,-1,4160
1,65,-2,4220
1,66,-1,4225
1,67,-1,4265
1,68,-1,4350
1,69,-1,4355
1,70,-1,4420
1,71,-1,4480
1,72,-1,4565
1,73,-1,4640
1,74,-1,4775
1,75,-1,4835
1,76,-1,4900
1,77,-1,4980
1,78,-1,5165
1,79,-1,5290
1,80,-1,5400
1,81,-1,5540
1,82,-1,5575
1,83,-1,5635
1,84,-1,5640
1,86,-2,5715
1,87,-1,5765
1,88,-1,5905
1,89,-1,5980
1,90,-1,6050
1,91,-1,6115
1,93,-2,6175
2,93,1.044053,6405
2,94,-1,6410
2,95,-1,6550
2,96,-1,6760
2,97,-1,6765
2,98,-1,6770
2,99,-1,6825
2,100,-1,6905
2,101,-1,7230
2,102,-1,7325
2,103,-1,7380
2,104,-1,7385
2,105,-1,7410
2,106,-1,7480
2,107,-1,7530
2,108,-1,7555
2,109,-1,7560
2,110,-1,7565
2,111,-1,7735
2,112,-1,7740
2,113,-1,7880
2,114,-1,7965
2,115,-1,8120
2,116,-1,8305
2,117,-1,8450
2,119,-2,8510
2,120,-1,8780
2,121,-1,8890
2,122,-1,8945
2,123,-1,9065
2,124,-1,9070
2,125,-1,9110
2,126,-1,9155
2,127,-1,9235
2,128,-1,9345
2,129,-1,9425
2,130,-1,9430
2,131,-1,9500
2,132,-1,9540
2,133,-1,9545
2,134,-1,9750
2,135,-1,9790
2,136,-1,9795
2,137,-1,9850
2,138,-1,9890
2,139,-1,9935
2,140,-1,9940
2,141,-1,9970
2,142,-1,10100
2,143,-1,10150
2,144,-1,10235
2,145,-1,10295
2,146,-1,10345
2,147,-1,10460
2,148,-1,10575
2,149,-1,10640
2,150,-1,10765
2,151,-1,10805
2,152,-1,10885
2,153,-1,11005
2,154,-1,11055
2,155,-1,11110
2,156,-1,11165
3,156,1.09009,11280
3,157,-1,11405
3,158,-1,11445
3,159,-1,11570
3,160,-1,11675
3,161,-1,11730
3,163,-2,11790
3,164,-1,11980
3,165,-1,12110
3,166,-1,12115
3,167,-1,12200
3,168,-1,12295
3,169,-1,12300
3,170,-1,12305
3,171,-1,12365
3,172,-1,12550
3,173,-1,12615
3,174,-1,12665
3,175,-1,12795
3,176,-1,12800
3,177,-1,12845
3,178,-1,12975
3,179,-1,13035
3,180,-1,13160
3,181,-1,13240
3,182,-1,13345
3,183,-1,13475
3,184,-1,13535
4,184,1.1,13635
4,185,-1,13690
4,187,-2,13750
4,188,-1,13805
4,189,-1,13845
4,190,-1,13850
4,191,-1,13960
4,192,-1,13965
4,193,-1,14015
4,194,-1,14075
4,195,-1,14115
4,196,-1,14255
4,197,-1,14310
4,198,-1,14340
4,199,-1,14410
4,200,-1,14480
4,201,-1,14485
4,202,-1,14490
4,203,-1,14495
4,204,-1,14550
4,205,-1,14555
4,206,-1,14560
4,207,-1,14615
4,208,-1,14705
4,209,-1,14740
4,210,-1,14805
4,211,-1,14860
4,212,-1,14930
4,213,-1,14975
4,214,-1,15115
4,215,-1,15155
4,216,-1,15190
4,217,-1,15250
4,219,-2,15310
4,220,-1,15375
4,221,-1,15555
4,222,-1,15590
4,223,-1,15690
4,224,-1,15695
4,225,-1,15745
4,226,-1,15875
4,227,-1,15965
4,228,-1,16025
4,229,-1,16040
4,230,-1,16080
4,231,-1,16140
4,232,-1,16150
4,233,-1,16200
4,234,-1,16205
4,235,-1,16260
4,236,-1,16265
4,237,-1,16270
4,238,-1,16275
4,239,-1,16325
4,240,-1,16435
4,241,-1,16550
4,242,-1,16605
4,243,-1,16650
4,244,-1,16765
4,245,-1,16770
4,246,-1,16775
4,247,-1,16840
4,248,-1,16845
4,249,-1,16870
4,250,-1,17000
4,251,-1,17005
4,252,-1,17045
4,253,-1,17130
4,254,-1,17175
4,255,-1,17240
4,256,-1,17415
4,257,-1,17460
4,258,-1,17465
4,259,-1,17525
4,260,-1,17595
4,261,-1,17715
4,262,-1,17820
4,263,-1,17925
4,264,-1,17980
4,265,-1,18045
4,266,-1,18125
4,267,-1,18275
4,268,-1,18385
4,269,-1,18470
4,270,-1,18565
4,271,-1,18570
4,272,-1,18630
4,273,-1,18660
4,274,-1,18725
4,275,-1,18800
4,277,-2,18950
4,278,-1,19105
4,279,-1,19215
4,280,-1,19315
4,281,-1,19385
4,282,-1,19440
4,283,-1,19530
4,284,-1,19595
4,285,-1,19655
4,286,-1,19715
4,287,-1,19775
4,288,-1,19865
4,289,-1,19960
4,290,-1,20095
4,291,-1,20330
4,292,-1,20335
4,293,-1,20375
4,294,-1,20460
4,295,-1,20465
4,296,-1,21255
4,297,-1,21320
4,298,-1,21365
4,299,-1,21370
4,300,-1,21425
4,301,-1,21430
4,302,-1,21495
4,303,-1,21620
4,304,-1,21685
4,306,-2,21820
4,307,-1,21825
4,308,-1,21830
4,309,-1,21935
4,310,-1,22165
4,311,-1,22230
4,312,-1,22415
4,313,-1,22570
4,314,-1,22760
4,315,-1,22795
4,316,-1,22825
4,317,-1,22830
4,318,-1,22890
4,319,-1,22950
4,320,-1,23005
4,321,-1,23050
4,322,-1,23055
4,323,-1,23120
4,324,-1,23190
4,325,-1,23225
4,326,-1,23230
4,327,-1,23280
4,328,-1,23315
4,329,-1,23385
4,330,-1,23435
4,331,-1,23440
4,332,-1,23505
4,333,-1,23510
4,334,-1,23555
4,335,-1,23745
4,336,-1,23865
4,337,-1,23960
4,338,-1,23965
4,339,-1,24015
4,340,-1,24240
4,341,-1,24300
4,342,-1,24305
4,343,-1,24310
4,344,-1,24365
4,345,-1,24370
4,346,-1,24425
4,347,-1,24475
4,348,-1,24520
4,349,-1,24525
4,350,-1,24715
4,351,-1,24720
4,352,-1,24830
4,353,-1,24885
4,354,-1,24940
4,355,-1,24985
4,356,-1,25055
4,357,-1,25060
4,358,-1,25065
4,360,-2,25315
4,361,-1,25375
4,362,-1,25435
4,363,-1,25495
4,364,-1,25560
4,365,-1,25565
4,366,-1,25605
4,367,-1,25675
4,368,-1,25820
4,369,-1,25825
4,370,-1,25885
4,371,-1,25890
4,372,-1,25950
4,373,-1,25990
4,374,-1,26100
4,375,-1,26310
4,376,-1,26315
4,377,-1,26340
4,378,-1,26345
4,379,-1,26400
4,380,-1,26555
4,381,-1,26640
4,382,-1,26725
4,383,-1,26785
4,385,-2,26845
4,386,-1,26850
4,387,-1,26855
4,388,-1,26910
4,389,-1,26915
4,390,-1,27055
4,391,-1,27110
4,392,-1,27225
4,393,-1,27230
4,394,-1,27400
4,395,-1,27450
4,396,-1,27510
4,397,-1,27860
4,398,-1,27905
4,399,-1,28170
4,400,-1,28210
4,401,-1,28285
4,402,-1,28370
4,403,-1,28405
4,404,-1,28500
4,405,-1,28505
4,406,-1,28545
4,407,-1,28580
4,408,-1,28670
4,409,-1,28710
4,410,-1,28715
4,411,-1,28800
4,412,-1,28890
4,413,-1,28895
5,413,1.151515,28965
5,414,-1,29175
5,415,-1,29245
5,416,-1,29485
5,417,-1,29670
