Goals,Deaths,Reward,Step 
0,0,0,0
0,1,-1,65
0,2,-1,125
0,3,-1,235
1,3,1.051546,430
2,3,1.072464,570
2,4,-1,715
3,4,1.044444,940
4,4,1.054348,1125
4,5,-1,1190
4,6,-1,1230
4,7,-1,1345
4,8,-1,1480
4,9,-1,1580
5,9,1.056497,1760
5,10,-1,1840
5,11,-1,1975
5,12,-1,2150
5,13,-1,2395
5,14,-1,2530
5,15,-1,2610
5,16,-1,2795
6,16,1.052632,2985
6,17,-1,3080
6,18,-1,3140
6,19,-1,3180
6,20,-1,3330
6,21,-1,3590
6,22,-1,3640
6,23,-1,3815
6,24,-1,3895
6,25,-1,3985
6,26,-1,4115
6,27,-1,4285
6,28,-1,4350
6,29,-1,4435
6,30,-1,4665
6,31,-1,4890
6,32,-1,4940
6,33,-1,5035
6,34,-1,5150
6,35,-1,5375
6,36,-1,5495
6,37,-1,5585
6,38,-1,5810
6,39,-1,5875
6,40,-1,6055
7,40,1.042194,6295
7,41,-1,6430
7,42,-1,6680
7,43,-1,6730
7,44,-1,6950
7,45,-1,7055
8,45,1.047393,7270
8,46,-1,7355
8,47,-1,7485
8,48,-1,7540
8,49,-1,7740
8,50,-1,8005
8,51,-1,8070
8,52,-1,8155
8,53,-1,8410
8,54,-1,8480
9,54,1.046729,8695
9,55,-1,8825
9,56,-1,8950
9,57,-1,9005
9,58,-1,9110
9,59,-1,9300
9,60,-1,9380
10,60,1.03268,9690
10,61,-1,9810
10,62,-1,9925
10,63,-1,10035
10,64,-1,10175
11,64,1.088496,10290
12,64,1.066667,10440
12,65,-1,10585
12,66,-1,10625
12,67,-1,10870
12,68,-1,10915
12,69,-1,10960
12,70,-1,11025
12,71,-1,11145
12,72,-1,11315
12,73,-1,11400
12,74,-1,11580
13,74,1.062893,11740
13,75,-1,11865
13,76,-1,11925
13,77,-1,12070
13,78,-1,12195
13,79,-1,12300
13,80,-1,12350
13,81,-1,12510
13,82,-1,12590
13,83,-1,12730
13,84,-1,12825
13,85,-1,12910
13,86,-1,12945
13,87,-1,13025
13,88,-1,13120
13,89,-1,13295
13,90,-1,13435
13,91,-1,13510
13,92,-1,13650
13,93,-1,13720
13,94,-1,13905
13,95,-1,14040
13,96,-1,14165
13,97,-1,14255
13,98,-1,14330
13,99,-1,14420
13,100,-1,14510
14,100,1.033003,14815
14,101,-1,14865
14,102,-1,14940
14,103,-1,14985
14,104,-1,15055
14,105,-1,15205
14,106,-1,15250
14,107,-1,15395
14,108,-1,15555
14,109,-1,15785
15,109,1.075188,15920
16,109,1.054945,16105
17,109,1.044444,16330
17,110,-1,16385
17,111,-1,16540
18,111,1.049751,16745
18,112,-1,16875
18,113,-1,17010
18,114,-1,17070
18,115,-1,17360
18,116,-1,17425
19,116,1.054645,17610
19,117,-1,17705
19,118,-1,17795
19,119,-1,17950
20,119,1.06135,18115
20,120,-1,18160
20,121,-1,18305
20,122,-1,18440
20,123,-1,18515
20,124,-1,18575
21,124,1.059172,18745
21,125,-1,18810
22,125,1.074627,18945
22,126,-1,19045
22,127,-1,19100
22,128,-1,19205
22,129,-1,19255
22,130,-1,19435
22,131,-1,19515
22,132,-1,19625
22,133,-1,19700
22,134,-1,19775
22,135,-1,19865
22,136,-1,20040
22,137,-1,20185
22,138,-1,20415
23,138,1.054348,20600
23,139,-1,20680
23,140,-1,20720
23,141,-1,20845
23,142,-1,20955
24,142,1.06135,21120
24,143,-1,21265
25,143,1.046512,21480
26,143,1.066667,21630
26,144,-1,21710
26,145,-1,21785
26,146,-1,21855
26,147,-1,21900
27,147,1.054945,22085
27,148,-1,22160
27,149,-1,22285
27,150,-1,22485
28,150,1.064516,22640
28,151,-1,22775
28,152,-1,22830
28,153,-1,23020
29,153,1.080645,23145
29,154,-1,23260
29,155,-1,23385
29,156,-1,23585
29,157,-1,23730
29,158,-1,23805
29,159,-1,23945
30,159,1.062112,24110
30,160,-1,24205
30,161,-1,24345
30,162,-1,24450
30,163,-1,24505
30,164,-1,24555
30,165,-1,24720
30,166,-1,24795
30,167,-1,24940
30,168,-1,24995
30,169,-1,25125
30,170,-1,25175
30,171,-1,25280
30,172,-1,25380
31,172,1.042553,25615
31,173,-1,25800
31,174,-1,25925
31,175,-1,26105
31,176,-1,26195
31,177,-1,26415
31,178,-1,26575
31,179,-1,26645
31,180,-1,26695
31,181,-1,26805
31,182,-1,26865
31,183,-1,27070
31,184,-1,27160
31,185,-1,27210
31,186,-1,27245
31,187,-1,27405
31,188,-1,27525
31,189,-1,27655
31,190,-1,27710
32,190,1.055556,27890
32,191,-1,28065
32,192,-1,28115
32,193,-1,28560
32,194,-1,28760
32,195,-1,28845
32,196,-1,28980
32,197,-1,29205
32,198,-1,29325
32,199,-1,29410
32,200,-1,29450
32,201,-1,29610
32,202,-1,29735
32,203,-1,29800
32,204,-1,29885
32,205,-1,29955
32,206,-1,30080
32,207,-1,30190
32,208,-1,30320
32,209,-1,30460
32,210,-1,30585
33,210,1.082645,30710
33,211,-1,30920
33,212,-1,31095
33,213,-1,31165
33,214,-1,31285
33,215,-1,31430
33,216,-1,31625
33,217,-1,31680
33,218,-1,31880
33,219,-1,32050
33,220,-1,32170
33,221,-1,32255
33,222,-1,32335
33,223,-1,32400
34,223,1.043103,32635
34,224,-1,32745
34,225,-1,33015
34,226,-1,33180
35,226,1.077519,33310
36,226,1.045872,33530
36,227,-1,33585
36,228,-1,33735
36,229,-1,33835
37,229,1.035587,34120
37,230,-1,34205
37,231,-1,34280
37,232,-1,34335
37,233,-1,34385
37,234,-1,34585
37,235,-1,34650
37,236,-1,34725
37,237,-1,34785
37,238,-1,34850
37,239,-1,34915
37,240,-1,35030
37,241,-1,35200
37,242,-1,35260
37,243,-1,35340
38,243,1.054054,35525
38,244,-1,35705
38,245,-1,35790
38,246,-1,35940
38,247,-1,36025
38,248,-1,36125
38,249,-1,36175
39,249,1.070922,36320
39,250,-1,36455
39,251,-1,36640
39,252,-1,36765
39,253,-1,36805
39,254,-1,36900
39,255,-1,37005
39,256,-1,37050
39,257,-1,37285
40,257,1.059172,37455
40,258,-1,37545
41,258,1.066667,37695
42,258,1.06993,37840
42,259,-1,37950
42,260,-1,38000
42,261,-1,38045
42,262,-1,38090
43,262,1.046729,38305
43,263,-1,38385
43,264,-1,38425
43,265,-1,38505
43,266,-1,38560
44,266,1.045662,38780
44,267,-1,38890
44,268,-1,38955
44,269,-1,39015
44,270,-1,39080
44,271,-1,39185
44,272,-1,39255
44,273,-1,39390
